"PointID","x","y","Displacement_x","Displacement_y","Sxx","Syy","Sxy","Von_Mises_Stress"
62, 2.673160000000000e-01, -4.196780000000000e-02, 1.145097448616521e-03, 4.000245061382327e-03, 1.208140823483539e+06, 1.668507869525566e+04, 1.052215789092896e+05, 1.209897976881381e+06
63, 2.874270000000000e-01, -4.157950000000000e-02, 1.166007553157561e-03, 4.491632140080248e-03, 1.095053649229658e+06, 1.686746528773793e+04, 1.002989512482309e+05, 1.096688180719214e+06
64, 3.075300000000000e-01, -4.109350000000000e-02, 1.180585182825985e-03, 4.993772307139491e-03, 9.914540911748555e+05, 1.705655330236753e+04, 9.478391606437761e+04, 9.926663713403222e+05
65, 3.276300000000000e-01, -4.052670000000000e-02, 1.189554768996588e-03, 5.505720827086983e-03, 8.983152149479868e+05, 1.640097665795191e+04, 8.964355458103676e+04, 8.999536605905803e+05
66, 3.477290000000000e-01, -3.989380000000000e-02, 1.193588932560658e-03, 6.026605026141663e-03, 8.142083018425474e+05, 1.620529661599857e+04, 8.460044405121650e+04, 8.157436710666257e+05
67, 3.678290000000000e-01, -3.920820000000000e-02, 1.193257752174838e-03, 6.555659375197228e-03, 7.371154426069616e+05, 1.589574568022181e+04, 7.908598279375033e+04, 7.383604959184313e+05
68, 3.879340000000000e-01, -3.848140000000000e-02, 1.189072305097137e-03, 7.092244953383592e-03, 6.666888422940724e+05, 1.516378204623681e+04, 7.360406021245688e+04, 6.679484522401274e+05
69, 4.081110000000000e-01, -3.771960000000000e-02, 1.181452208681074e-03, 7.637511332097551e-03, 6.026774157029050e+05, 1.436281047449207e+04, 6.830695843799369e+04, 6.039680761507704e+05
70, 4.283910000000000e-01, -3.689040000000000e-02, 1.169720337519083e-03, 8.191751490688334e-03, 5.449239298301741e+05, 1.362084172789530e+04, 6.327332290746117e+04, 5.461657486459812e+05
71, 4.486760000000000e-01, -3.599200000000000e-02, 1.153972977741374e-03, 8.751808276617104e-03, 4.937384234411032e+05, 1.287064004514820e+04, 5.837860566880360e+04, 4.948394401292946e+05
72, 4.689660000000000e-01, -3.503220000000000e-02, 1.134619822706029e-03, 9.317233940306946e-03, 4.484149581788080e+05, 1.205272514608570e+04, 5.376883543770791e+04, 4.494177890055233e+05
73, 4.892610000000000e-01, -3.401800000000000e-02, 1.112033906195362e-03, 9.887662281523114e-03, 4.086274625549297e+05, 1.134750505029424e+04, 4.926793769413492e+04, 4.093173382272215e+05
74, 5.095640000000000e-01, -3.295580000000000e-02, 1.086578372858869e-03, 1.046288004507981e-02, 3.751266801158902e+05, 1.040241539539467e+04, 4.480974644204127e+04, 3.755734851939181e+05
75, 5.298740000000000e-01, -3.185120000000000e-02, 1.058602940424496e-03, 1.104261430656548e-02, 3.471094695571403e+05, 9.215759042724649e+03, 4.090081139132168e+04, 3.476545197391709e+05
76, 5.501910000000000e-01, -3.070950000000000e-02, 1.028403387448267e-03, 1.162667774301690e-02, 3.229236502717471e+05, 8.197822140188635e+03, 3.774528105641739e+04, 3.236528570261772e+05
77, 5.705160000000000e-01, -2.953530000000000e-02, 9.962270983343577e-04, 1.221496147599966e-02, 3.016172932537010e+05, 7.070303768805892e+03, 3.511169464426908e+04, 3.028023339041238e+05
78, 5.908500000000000e-01, -2.833280000000000e-02, 9.623013394976102e-04, 1.280750249516428e-02, 2.832382773160663e+05, 5.890902953720649e+03, 3.366885350721416e+04, 2.854048577926593e+05
79, 6.111930000000000e-01, -2.710560000000000e-02, 9.267441816414975e-04, 1.340425418842005e-02, 2.634532641609819e+05, 5.167038716412877e+03, 3.264074694839767e+04, 2.664084227268351e+05
80, 6.315450000000000e-01, -2.585710000000000e-02, 8.896626092884195e-04, 1.400538227052466e-02, 2.484538917949880e+05, 4.865139204045529e+03, 3.129353268736633e+04, 2.515007378538530e+05
81, 6.519070000000000e-01, -2.459010000000000e-02, 8.511235214330171e-04, 1.461055470527882e-02, 2.282311843319545e+05, 4.201229406995189e+03, 2.877350187163715e+04, 2.313030011554276e+05
82, 6.722800000000000e-01, -2.330710000000000e-02, 8.111008809903346e-04, 1.521966122846966e-02, 2.081586187000142e+05, 3.560762584053521e+03, 2.708552619286409e+04, 2.116477867680753e+05
83, 6.926620000000000e-01, -2.201020000000000e-02, 7.698209567242139e-04, 1.583263305053907e-02, 1.880927267471589e+05, 3.263106493398509e+03, 2.550687055280183e+04, 1.917404242843402e+05
84, 7.130560000000000e-01, -2.070110000000000e-02, 7.271890523547301e-04, 1.644958653456901e-02, 1.711796933861260e+05, 2.560012480032787e+03, 2.464027020700664e+04, 1.756734711115196e+05
85, 7.334610000000000e-01, -1.938120000000000e-02, 6.834479401230143e-04, 1.707025905448099e-02, 1.573086708409363e+05, 2.026961609807372e+03, 2.337261930781290e+04, 1.621651212652482e+05
86, 7.538770000000000e-01, -1.805140000000000e-02, 6.386498860801161e-04, 1.769462371560863e-02, 1.421674938535758e+05, 1.150001179927801e+03, 2.131571959387585e+04, 1.473206463710411e+05
87, 7.743050000000000e-01, -1.671250000000000e-02, 5.926943200081794e-04, 1.832254792733564e-02, 1.231401526249172e+05, -4.665159973342913e+02, 1.996984263788051e+04, 1.298991415976947e+05
88, 7.947460000000000e-01, -1.536480000000000e-02, 5.455204635259804e-04, 1.895399035691803e-02, 1.070228170638117e+05, -4.102897652689239e+01, 2.174981524641532e+04, 1.155633375338482e+05
89, 8.151990000000000e-01, -1.400830000000000e-02, 4.975278794312059e-04, 1.958896034662051e-02, 9.655398843019712e+04, -2.005140095867245e+03, 1.397044970861296e+04, 1.024431338648951e+05
90, 8.356650000000000e-01, -1.264280000000000e-02, 4.482633715900951e-04, 2.022702037153596e-02, 6.763697005061278e+04, -3.224177579222222e+03, 1.343256741261400e+04, 7.578283257173059e+04
91, 8.561440000000000e-01, -1.126750000000000e-02, 3.974793764178744e-04, 2.086805587607285e-02, 4.616452203299679e+04, -8.786856352843065e+02, 1.545949556988295e+04, 5.629429279084998e+04
92, 8.766380000000000e-01, -9.881770000000000e-03, 3.459183698536363e-04, 2.151211845313758e-02, 4.046191642548640e+04, -1.847823054379419e+03, 1.408885501490420e+04, 5.083401811167480e+04
93, 8.971450000000000e-01, -8.484230000000001e-03, 2.934012087656433e-04, 2.215886418463205e-02, 3.181330309231602e+04, -4.462524741117322e+03, 1.179711372027894e+04, 4.327381718219080e+04
94, 9.176680000000000e-01, -7.073410000000000e-03, 2.398475320370068e-04, 2.280831933276317e-02, 2.206533489823812e+04, -6.365457548396033e+03, 9.607542859965932e+03, 3.431514940034386e+04
95, 9.382060000000000e-01, -5.647530000000000e-03, 1.851734347904962e-04, 2.346023216752939e-02, 6.286511650843753e+03, -8.530717039096551e+03, 7.204420706483475e+03, 2.066796983048943e+04
96, 9.587590000000000e-01, -4.204500000000000e-03, 1.293157445055428e-04, 2.411445949480444e-02, -1.644786108290531e+03, -8.581055038872881e+03, 4.580420188951477e+03, 1.149055364666034e+04
97, 9.793290000000000e-01, -2.741940000000000e-03, 7.223475240103933e-05, 2.477054966650733e-02, -8.253828689349564e+03, -1.038100487921766e+04, 1.093986839711045e+03, 3.051574571362399e+03
98, 9.999160000000000e-01, -1.257210000000000e-03, 1.409266411771143e-05, 2.542769265704651e-02, -1.009655256604105e+04, -1.137041374277878e+04, 3.035194234770634e+02, 1.411105403331388e+03
99, 2.965208526196640e-01, -2.451291204343565e-02, 7.573845442792245e-04, 4.704286513104457e-03, 8.305068343728441e+05, 2.334238874195320e+04, 1.215069567791932e+05, 8.429532635167778e+05
100, 3.569550691458233e-01, -2.225937713288704e-02, 7.422280902448611e-04, 6.256476016659037e-03, 6.110685211867641e+05, 2.023742024083147e+04, 9.880293818170986e+04, 6.230003789873150e+05
101, 2.357521292249362e-01, -2.612922374397977e-02, 7.281766234260136e-04, 3.239105877024632e-03, 1.140751106848714e+06, 2.609725626562929e+04, 1.477056598317985e+05, 1.153135314872060e+06
102, 4.175395537093936e-01, -1.978668907414103e-02, 7.001071003757487e-04, 7.883452014149160e-03, 4.465556023345399e+05, 1.745133621668241e+04, 7.772513886065112e+04, 4.563937554833272e+05
103, 1.751367101315091e-01, -2.542483001771199e-02, 6.109038044163943e-04, 1.911021182685634e-03, 1.583724261430194e+06, 2.209019863185440e+04, 1.778102181921452e+05, 1.601613823887082e+06
104, 4.545161237720396e-01, 5.410499663149525e-02, -1.327624605307523e-03, 8.878144857214883e-03, -3.303148793054491e+05, 4.957632109103822e+04, 5.443532659136721e+04, 3.951836829413879e+05
105, 4.984928440317798e-01, -1.590850127774330e-02, 6.035444507154931e-04, 1.013859189123406e-02, 2.958363183500828e+05, 1.378344068079756e+04, 5.175275403220679e+04, 3.004450299159519e+05
106, 3.174663951753988e-01, 6.223768294924557e-02, -1.393246537615317e-03, 5.210913437492654e-03, -7.366674593145112e+05, 5.379364198154201e+04, 4.208910935057784e+04, 7.949306417328928e+05
107, 2.563717303565273e-01, 5.966322547531767e-02, -1.236160706130671e-03, 3.705996328352213e-03, -9.833785420265561e+05, 5.475022824710445e+04, 1.435568033731609e+04, 1.038525727125569e+06
108, 3.756939939814997e-01, 6.148855564182976e-02, -1.447858658961082e-03, 6.727883778637278e-03, -5.400366154534479e+05, 4.902964618727122e+04, 5.125739512542570e+04, 5.979200137339009e+05
109, 1.331764993897024e-01, 4.104774463271259e-02, -5.884912263713472e-04, 1.096135380605458e-03, -1.702111540909399e+06, 7.824510354490374e+04, -1.175404130147532e+04, 1.780511839724817e+06
110, 2.151334798234129e-01, 5.783655425665940e-02, -1.117227759878342e-03, 2.756678985326123e-03, -1.228838820586001e+06, 5.380561183033064e+04, -2.043531774642857e+04, 1.283295425400638e+06
111, 5.390439783578407e-01, -1.368921905163664e-02, 5.396392364332914e-04, 1.129585082796584e-02, 2.488191138551944e+05, 1.017602103371573e+04, 4.120455851913542e+04, 2.524713613906106e+05
112, 4.171750027518464e-01, 5.955074979533879e-02, -1.441205511252848e-03, 7.847451156765807e-03, -4.394727476472863e+05, 4.774085063467957e+04, 5.180441793349968e+04, 4.981083027019079e+05
113, 5.796418763382618e-01, -1.132888697481147e-02, 4.678248568953762e-04, 1.247062263399766e-02, 2.104719107512029e+05, 7.415669897878960e+03, 3.408438575579390e+04, 2.141934134348724e+05
114, 4.579843708690872e-01, -1.795387507594605e-02, 6.577489380292862e-04, 9.000115950723328e-03, 3.623030643507761e+05, 1.546090328449397e+04, 6.445030892716385e+04, 3.700200723965610e+05
115, 1.742940777616075e-01, 5.338799194168506e-02, -9.310563888374630e-04, 1.885677994521946e-03, -1.534984301689781e+06, 5.814617812301625e+04, -6.272375826594185e+04, 1.598061890263506e+06
116, 9.710402222757537e-02, -1.854828260839096e-02, 2.874838013094177e-04, 5.113310536632026e-04, 2.421703770870204e+06, -1.203735453558160e+04, 3.451805320650802e+05, 2.529761701101182e+06
117, 5.189774796231875e-01, 5.374676487811309e-02, -1.371761077469336e-03, 1.069573156444031e-02, -2.718251485042993e+05, 3.792210303895051e+04, 3.774813262128559e+04, 3.188150653657602e+05
118, 6.203290590016649e-01, -9.338681345593056e-03, 4.033490623321691e-04, 1.366416771919290e-02, 1.772139710668871e+05, 5.382346453429477e+03, 3.255603531071893e+04, 1.837544256825160e+05
119, 1.374487160331137e-01, -2.687496070907593e-02, 5.460066646602868e-04, 1.184893333307276e-03, 2.163047274506382e+06, -1.806588690194010e+04, 1.682406955747321e+05, 2.206915120583138e+06
120, 5.596387496012009e-01, 5.071566089060470e-02, -1.317042715837755e-03, 1.186448477458229e-02, -2.352976705764410e+05, 1.697241612776011e+04, 3.307532696088572e+04, 2.607989755731857e+05
121, 6.609827153956152e-01, -6.310240884540755e-03, 3.050928285386658e-04, 1.487185245144602e-02, 1.447862677917745e+05, 4.557709843516673e+03, 2.807251394008549e+04, 1.510506955293920e+05
122, 6.033984443620632e-01, 4.523925165445848e-02, -1.190115155209763e-03, 1.314253561600551e-02, -1.888124030698492e+05, 1.180171794127136e+04, 3.360183322072834e+04, 2.115711661173117e+05
123, 7.020103535966860e-01, -3.111390526276716e-03, 1.977850255526588e-04, 1.610520491898223e-02, 1.070289959907053e+05, 3.315125790005251e+03, 2.572294761732841e+04, 1.157723931190115e+05
124, 5.755684299532306e-02, -1.475369716728351e-02, 8.255650318059291e-05, 5.235706186755309e-05, 3.511512618735999e+06, 4.956541399792737e+05, 5.880313189489653e+05, 3.237055095630636e+06
125, 9.060053040963247e-02, 3.560010455049589e-02, -3.685611693099026e-04, 4.305626687645802e-04, -2.620606648768033e+06, 9.025252045046816e+04, -1.850647148514597e+05, 2.736010458691310e+06
