"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient"
287, 7.674507908727424e-01, 7.901852623034931e-02, 9.284782553273877e-01, 9.184036171363604e-01, -1.012978728949239e-01, 3.411223740992859e+00, 1.180591498113671e+00, 1.001332879289340e+00, 7.458640235530226e-01, -1.784995434551977e-01
288, 1.543746018587220e-01, 4.029663913856832e-01, 8.957496876510530e-01, 1.050797609554279e+00, 1.340587558884408e-01, 3.343191387859674e+00, 1.086727237238333e+00, 9.553982670866089e-01, 9.074178552677432e-01, -3.662280652058740e-01
289, 4.862334513532188e-01, 3.531501084032410e-01, 7.706315374157594e-01, 1.053724994883338e+00, -3.418617299144638e-02, 2.928301378384202e+00, 8.828545321733550e-01, 9.021794597428052e-01, 1.080248668261581e+00, -7.739734753358296e-01
290, 5.850021222861266e-01, 4.105644379543240e-01, 8.560479637567324e-01, 1.040245491685820e+00, -6.178585346004571e-02, 3.205201571708155e+00, 1.028373308384313e+00, 9.460264081450281e-01, 9.386681574364485e-01, -4.829359229139132e-01
291, 5.958951683331821e-01, 5.403248544605863e-01, 8.872918404675288e-01, 1.052897937198118e+00, -4.385169397740260e-02, 3.313136761768805e+00, 1.074938633585851e+00, 9.540425543672479e-01, 9.119552235165921e-01, -3.898052725108374e-01
292, 6.930876369968780e-01, 4.574389119232977e-01, 9.381672658494138e-01, 1.033543309079533e+00, -5.786019935852153e-02, 3.477232284327683e+00, 1.162456127793399e+00, 9.757686437806701e-01, 8.377524744702303e-01, -2.147702840957417e-01
293, 6.661168728425818e-01, 3.432733027026816e-01, 9.326272976302451e-01, 1.026408230990213e+00, -6.077204904078583e-02, 3.456443637570655e+00, 1.155861573716321e+00, 9.759965118053862e-01, 8.369683645194694e-01, -2.279593922498977e-01
294, 7.769397104765946e-01, 3.771791661507702e-01, 9.649409070412213e-01, 1.019680750276302e+00, -5.984885071286655e-02, 3.563110309408506e+00, 1.208996535998710e+00, 9.866767645060693e-01, 7.992526628536296e-01, -1.216894676851203e-01
295, 8.012437836842387e-01, 5.033351079614252e-01, 9.660575776027727e-01, 1.023110539413722e+00, -4.837028807015017e-02, 3.567717025094466e+00, 1.209895850627125e+00, 9.862693533579781e-01, 8.006963754193221e-01, -1.198908384282893e-01
296, 8.887706064421159e-01, 4.220295086248018e-01, 9.799650764415543e-01, 1.010534880286296e+00, -5.262648084759541e-02, 3.610984689660701e+00, 1.235416981610088e+00, 9.927811678255946e-01, 7.772546631013580e-01, -6.884857646236409e-02
297, 3.955332143379829e-01, 3.107284915200583e-01, 7.499832129072898e-01, 1.057897155758569e+00, 2.309407122409581e-02, 2.862594421612864e+00, 8.464498245370726e-01, 8.887922094135525e-01, 1.122422874732951e+00, -8.467828906083943e-01
298, 8.617688592042482e-01, 3.087086971092500e-01, 9.762878720764815e-01, 1.005089788577631e+00, -7.033228303600733e-02, 3.597280575003175e+00, 1.230950594468311e+00, 9.929177867200377e-01, 7.767697158963325e-01, -7.778135074591708e-02
299, 9.646957525401926e-01, 3.439063017835778e-01, 9.948085095898050e-01, 9.955516878025888e-01, -5.605400141194829e-02, 3.656936259085075e+00, 1.262883729766234e+00, 9.997109268807780e-01, 7.518577400373972e-01, -1.391508015007181e-02
300, 2.200839954975908e-02, 4.533999881246084e-01, 9.542543006294626e-01, 1.022900186567330e+00, 1.381846412707830e-01, 3.530387985723989e+00, 1.188856271547550e+00, 9.811056792996653e-01, 8.190296454912694e-01, -1.619699965874393e-01
301, 6.586598478894903e-02, 3.173148011571321e-01, 9.384778331770918e-01, 1.029904906237046e+00, 1.761791260714725e-01, 3.481358439489244e+00, 1.159880831884885e+00, 9.732847413317500e-01, 8.464036641733392e-01, -2.199208759127700e-01
302, 4.648739630674765e-01, 2.672836779423501e-01, 7.166403822142180e-01, 1.046039206859615e+00, -2.216242737745371e-02, 2.749755199639464e+00, 7.943962159265242e-01, 8.729441370708826e-01, 1.171958346206586e+00, -9.508901078294911e-01
303, -5.694420572384892e-02, 3.481358774109367e-01, 9.923529642368003e-01, 9.974919354862605e-01, 1.506340925376014e-01, 3.651983147150462e+00, 1.255688658406367e+00, 9.964748976746631e-01, 7.637789753394251e-01, -2.830522286980530e-02
304, -6.827510832970413e-02, 2.364849161578835e-01, 1.021380526911151e+00, 9.731065224795258e-01, 1.727860826866744e-01, 3.744650965720555e+00, 1.306591547941282e+00, 1.007402057209249e+00, 7.230580609781060e-01, 7.350055620002527e-02
305, -8.290385707022392e-02, 4.902553453282267e-01, 9.858123013205904e-01, 1.004604602148904e+00, 1.212221849997476e-01, 3.630741972266570e+00, 1.244564500838560e+00, 9.941999537817037e-01, 7.720835189589694e-01, -5.055353800542006e-02
306, -1.628678120251499e-01, 2.816457262214179e-01, 1.024252480585007e+00, 9.730459269762687e-01, 1.256396652770418e-01, 3.752428214364605e+00, 1.313009094832477e+00, 1.009511504028777e+00, 7.150268765665414e-01, 8.633564998241416e-02
