"PointID","x","y","Adjoint_Density","Adjoint_Momentum_x","Adjoint_Momentum_y","Adjoint_Energy","Sensitivity_x","Sensitivity_y","Surface_Sensitivity"
18, 6.321180575432558e-01, 7.387713551738986e-02, -1.714619298769841e-03, 2.910842699780413e-03, -1.442708639969287e-03, -2.133389791135946e-03, 7.271200033748607e-05, -8.570696638159283e-03, 8.535191038406701e-03
19, 6.116051471979289e-01, 7.552915378883029e-02, -1.463956424997085e-03, 2.649935760035499e-03, -1.347207294180721e-03, -2.099547191732156e-03, 1.682016005609818e-04, -7.401764655990374e-03, 7.366399247213617e-03
20, 5.910864751810629e-01, 7.707045435404963e-02, -2.001004041263765e-03, 3.148649081197175e-03, -1.309658116646763e-03, -1.941674259201846e-03, -1.529993436027392e-05, -1.453949288012601e-02, 1.450267992810487e-02
21, 5.705639271104185e-01, 7.849896927519003e-02, -1.467112311083995e-03, 2.490190195744137e-03, -1.051945308177848e-03, -1.756778131418391e-03, -3.868080638228980e-03, -8.135076405818646e-02, 8.142774860097336e-02
22, 5.500373623182362e-01, 7.981070017781217e-02, -1.576439385956369e-03, 2.419886801874767e-03, -8.945591828284441e-04, -1.473315518841161e-03, -1.336589242761401e-02, -2.691065681160497e-01, 2.694212060766926e-01
23, 5.295071993570151e-01, 8.100192395625301e-02, -1.798860786170864e-03, 2.276107398789471e-03, -1.158112539872713e-03, -1.326436559659630e-03, -1.415132360907975e-02, -3.123709415274206e-01, 3.126768351900832e-01
24, 5.089736258575971e-01, 8.206733204789010e-02, -1.780861815597069e-03, 2.120398736664586e-03, -1.495926262443116e-03, -9.963500873596065e-04, -3.717639195866172e-03, -1.348704279353592e-01, 1.348916251245707e-01
25, 4.884380728852888e-01, 8.300178838773961e-02, -2.174669724146031e-03, 2.530078852986324e-03, -1.768788582232674e-03, -1.114501925009450e-03, 1.698732226931617e-03, -2.067241129389134e-02, 2.058244601718150e-02
26, 4.679016257675067e-01, 8.379992881267002e-02, -2.258743613753169e-03, 2.647626445012505e-03, -1.849793774326312e-03, -1.175160114135056e-03, 2.856735717497793e-03, 1.451497474002173e-02, -1.460698799688868e-02
27, 4.473644249925416e-01, 8.445639926044443e-02, -2.343041371550019e-03, 2.699662190399471e-03, -1.688580564626396e-03, -1.130195396884303e-03, 2.882139223066859e-03, 2.398048776769943e-02, -2.405248867958839e-02
28, 4.268281319830423e-01, 8.496354279538398e-02, -1.115233912712165e-03, 1.684409185477376e-03, -1.821828848103968e-03, -9.309632520846050e-04, 2.964645350171709e-03, 4.306587557865400e-02, -4.311845979555270e-02
29, 4.062934861828538e-01, 8.531556593747633e-02, -9.269238134397502e-04, 1.223901149624463e-03, -2.209752109727702e-03, -2.421865667744313e-04, 2.749819231882214e-03, 4.070692571815195e-02, -4.073876608287003e-02
30, 3.856624051268269e-01, 8.549009210936476e-02, -7.922057361795146e-04, 1.064298037999310e-03, -2.097718839681551e-03, -2.985531975687496e-04, 1.895227373200352e-03, 5.410724289009682e-02, -5.411256293651213e-02
31, 3.649680798434196e-01, 8.543663284455048e-02, 6.322914377775310e-04, -3.014211025824038e-04, -2.520650489117594e-03, 3.555226611815765e-04, 1.211318713271561e-03, 8.505480926814557e-02, -8.504158433305802e-02
32, 3.442780976456210e-01, 8.514139763166388e-02, 1.393507449829692e-03, -1.138842604641802e-03, -3.117354852148371e-03, 9.499029145553684e-04, -3.246292043334285e-05, 9.020664343986319e-02, -9.018860472387605e-02
33, 3.235948761160999e-01, 8.459407542674634e-02, 1.715603896446167e-03, -1.589305419582236e-03, -3.672297135394777e-03, 1.360785919974047e-03, -2.124084588278358e-03, 1.145787332698584e-01, -1.145866875522761e-01
34, 3.029219818673705e-01, 8.378254557066171e-02, 2.317563346406018e-03, -2.292966745346426e-03, -4.656458381540726e-03, 1.927584690820536e-03, -6.235773694918974e-03, 1.679711958552616e-01, -1.680803054794316e-01
35, 2.822638483889695e-01, 8.269282107364057e-02, 3.825081544426372e-03, -3.943539080879039e-03, -6.604299475747273e-03, 3.126741415376274e-03, -1.262470706326710e-02, 2.343721228808429e-01, -2.347076743540076e-01
36, 2.616219936614477e-01, 8.130929956425464e-02, 7.085840438706465e-03, -6.887818385850564e-03, -9.128995753662592e-03, 4.430888720197791e-03, -2.170860719786120e-02, 3.076696746591013e-01, -3.084320685537279e-01
