"PointID","x","y","Sensitivity_x","Sensitivity_y","Surface_Sensitivity"
30, 3.875760000000000e-01, 7.844390000000000e-02, 1.798051840223306e-03, 5.391644306261575e-02, 5.394606384149677e-02
31, 3.668650000000000e-01, 7.894160000000000e-02, 1.165097790197538e-03, 8.485485279407196e-02, 8.486207526392670e-02
32, 3.461490000000000e-01, 7.918989999999999e-02, -1.091918287955382e-04, 9.002051597801070e-02, 9.001843985605978e-02
33, 3.254310000000000e-01, 7.917720000000000e-02, -2.256507025761913e-03, 1.143923429835754e-01, 1.144056682710931e-01
34, 3.047140000000000e-01, 7.889030000000000e-02, -6.462331832184731e-03, 1.677920493425741e-01, 1.678902432371910e-01
35, 2.840020000000000e-01, 7.831420000000000e-02, -1.302665854822081e-02, 2.341021594332889e-01, 2.344155391677928e-01
36, 2.632960000000000e-01, 7.743220000000001e-02, -2.208274161268291e-02, 3.070514326803684e-01, 3.077742279992619e-01
37, 2.426010000000000e-01, 7.622460000000000e-02, -2.858426852971517e-02, 3.332820376374273e-01, 3.344460497728262e-01
38, 2.219220000000000e-01, 7.466879999999999e-02, -3.041590699254192e-02, 3.000601996813328e-01, 3.015549158682810e-01
39, 2.012640000000000e-01, 7.273780000000001e-02, -1.763178497983533e-02, 1.678898686231829e-01, 1.688129602168938e-01
40, 1.806310000000000e-01, 7.039890000000000e-02, 1.039907811316633e-02, -4.458163047416512e-02, -4.552406025620222e-02
41, 1.600330000000000e-01, 6.761140000000000e-02, 3.528228652105649e-02, -1.911539543249663e-01, -1.942571723870244e-01
42, 1.394760000000000e-01, 6.432340000000000e-02, 4.292952581134900e-02, -2.120698225289953e-01, -2.162899843939381e-01
43, 1.189730000000000e-01, 6.046550000000000e-02, 3.206417044604003e-02, -1.348384553293495e-01, -1.385296919076881e-01
44, 9.853700000000000e-02, 5.594070000000000e-02, 2.436421359663563e-02, -8.889674023318361e-02, -9.213291371910945e-02
45, 7.818849999999999e-02, 5.060340000000000e-02, 2.622640885557342e-02, -7.857605069946891e-02, -8.276838788833725e-02
46, 5.795880000000000e-02, 4.421300000000000e-02, 5.672147394766053e-02, -1.260722430372428e-01, -1.377826882186031e-01
47, 3.790390000000000e-02, 3.630690000000000e-02, -1.241350981802002e-01, 3.094531153445920e-01, 3.329394634606371e-01
48, 1.815790000000000e-02, 2.570150000000000e-02, -2.023189338403609e-01, 2.701475328336433e-01, 3.350388060364384e-01
49, 0.000000000000000e+00, 0.000000000000000e+00, 2.623400918616328e-01, -1.458351636951979e-01, -2.473891225511654e-01
50, 2.265850000000000e-02, -2.172400000000000e-02, -5.160960103312619e-02, -5.082745943563961e-01, 4.537731692260559e-01
51, 4.372870000000000e-02, -2.856010000000000e-02, -3.222011150434747e-02, -2.597720266420819e-01, 2.592818486055631e-01
52, 6.449020000000000e-02, -3.290520000000000e-02, 4.898822638030951e-02, 1.796561180715688e-01, -1.854698004126664e-01
53, 8.507679999999999e-02, -3.594290000000000e-02, 1.929136685574882e-02, 9.997970403366108e-02, -1.016160931677990e-01
54, 1.055450000000000e-01, -3.813560000000000e-02, 8.180659501726386e-03, 7.040620252040532e-02, -7.086051990477123e-02
55, 1.259250000000000e-01, -3.972410000000000e-02, 3.066048577356918e-03, 3.728409371110963e-02, -3.740554390704125e-02
56, 1.462380000000000e-01, -4.085400000000000e-02, 1.058080411302285e-03, 2.288096697572990e-02, -2.290541490213910e-02
57, 1.664980000000000e-01, -4.162220000000000e-02, 2.035885206089988e-04, 1.500212702007713e-02, -1.500129968410364e-02
58, 1.867150000000000e-01, -4.209820000000000e-02, -7.814974015178346e-05, 1.946852733270938e-02, -1.946413206006786e-02
59, 2.069000000000000e-01, -4.233380000000000e-02, -4.278198415921569e-04, 1.052047173501484e-02, -1.051735311401881e-02
60, 2.270570000000000e-01, -4.236980000000000e-02, -4.772089538876417e-04, 6.980929536912887e-03, -6.982035206532694e-03
61, 2.471950000000000e-01, -4.223880000000000e-02, -5.375541387799931e-04, 1.097714631932657e-02, -1.098196650636124e-02
62, 2.673160000000000e-01, -4.196780000000000e-02, -5.164748273057061e-04, 7.286518269380420e-03, -7.294002644836881e-03
63, 2.874270000000000e-01, -4.157950000000000e-02, -8.321620697109240e-04, 1.211022381181345e-02, -1.212545061599586e-02
64, 3.075300000000000e-01, -4.109350000000000e-02, -5.194472835271548e-04, 4.651603027153633e-03, -4.663607051954256e-03
65, 3.276300000000000e-01, -4.052670000000000e-02, -2.946202200851553e-04, -4.337246195371596e-04, 4.247428561502977e-04
66, 3.477290000000000e-01, -3.989380000000000e-02, -7.760146063417103e-04, 8.890025848110505e-03, -8.910686851597327e-03
67, 3.678290000000000e-01, -3.920820000000000e-02, -6.821761158894757e-04, 5.333089249249004e-03, -5.353751516926853e-03
68, 3.879340000000000e-01, -3.848140000000000e-02, -2.663167222098574e-04, -1.860817032207338e-03, 1.849712855145636e-03
69, 4.081110000000000e-01, -3.771960000000000e-02, -9.072055004893869e-04, 9.045803516806580e-03, -9.074465841919850e-03
70, 4.283910000000000e-01, -3.689040000000000e-02, 5.572380206711167e-05, -3.710122760550950e-03, 3.709133707016564e-03
71, 4.486760000000000e-01, -3.599200000000000e-02, -6.727447637543924e-04, 5.121970626061979e-03, -5.147385029226392e-03
72, 4.689660000000000e-01, -3.503220000000000e-02, -6.917213389518817e-04, 6.158142104915310e-03, -6.184475458884130e-03
73, 4.892610000000000e-01, -3.401800000000000e-02, 6.062798492888059e-04, -1.023854050737043e-02, 1.025614341550154e-02
74, 5.095640000000000e-01, -3.295580000000000e-02, -6.835395216911426e-04, 6.721400609715080e-03, -6.748271495366972e-03
75, 5.298740000000000e-01, -3.185120000000000e-02, -5.784386698706411e-04, 5.088033184635491e-03, -5.112207295012265e-03
76, 5.501910000000000e-01, -3.070950000000000e-02, -7.419919317487497e-05, -2.222554045470082e-03, 2.214733193856349e-03
77, 5.705160000000000e-01, -2.953530000000000e-02, 5.340723155543211e-04, -7.470468264530342e-03, 7.488903577646098e-03
78, 5.908500000000000e-01, -2.833280000000000e-02, -3.696071663105052e-04, 4.327484303793185e-03, -4.341822904505290e-03
79, 6.111930000000000e-01, -2.710560000000000e-02, -3.436663141091597e-04, 2.290213279038917e-03, -2.306855542279320e-03
80, 6.315450000000000e-01, -2.585710000000000e-02, 1.491257912186806e-04, -2.925985192328443e-03, 2.929612535581330e-03
81, 6.519070000000000e-01, -2.459010000000000e-02, 2.404774589521525e-04, -2.459427734023336e-03, 2.469647353482277e-03
82, 6.722800000000000e-01, -2.330710000000000e-02, 1.891122253983487e-04, -1.993770812079963e-03, 2.001735425162683e-03
83, 6.926620000000000e-01, -2.201020000000000e-02, 2.141451091799689e-04, -2.162353539302257e-03, 2.171609127649394e-03
84, 7.130560000000000e-01, -2.070110000000000e-02, 3.251512962037107e-04, -2.960466446212855e-03, 2.975247929418164e-03
85, 7.334610000000000e-01, -1.938120000000000e-02, 5.815784420600490e-04, -5.331248617545721e-03, 5.357723918292631e-03
86, 7.538770000000000e-01, -1.805140000000000e-02, 1.784653383996428e-04, 8.464142740344602e-04, -8.329773885756266e-04
