"PointID","x","y","z","Density","Momentum_x","Momentum_y","Momentum_z","Energy","Pressure","Temperature","Mach","Pressure_Coefficient"
558, 1.897564652608708e-05, 1.840006737820547e+00, 3.640963509678841e-02, 1.490959032901904e+00, 2.577829529645371e+01, 2.535505509109058e+01, -2.400862989413818e+01, 3.441534400693300e+05, 1.374086777852068e+05, 3.201489209104859e+02, 8.104290775136892e-02, 9.044272039340771e-01
559, 1.897564652608708e-05, 1.850006737820573e+00, 3.640963509678841e-02, 1.464260101534165e+00, 4.984654220511959e+01, 2.857503710427355e+01, -4.541851018210282e+01, 3.383366757111721e+05, 1.346020065211307e+05, 3.193279238682665e+02, 1.394272217171372e-01, 8.340787805044922e-01
560, 1.897564652608708e-05, 1.860006737820599e+00, 3.640963509678841e-02, 1.464596816565003e+00, 5.215574307655731e+01, 1.770128704564127e+01, -2.242088994055238e+01, 3.382359555198685e+05, 1.348114843394459e+05, 3.197513574608025e+02, 1.131058800646701e-01, 8.393292829236964e-01
561, 1.805253668862861e-05, 1.869995927416534e+00, 3.721884265542030e-02, 1.500460318828812e+00, 6.921531133779952e+01, 2.486698142407226e+01, -1.821119198764695e+00, 3.466802626342799e+05, 1.379506674394077e+05, 3.193764459276601e+02, 1.366653670840312e-01, 9.180120217131322e-01
562, 1.805253668862861e-05, 1.879995927416560e+00, 3.721884265542030e-02, 1.506877671731582e+00, 6.201543893223642e+01, 2.641969353068936e+01, -3.403617001124174e+01, 3.481860772927938e+05, 1.385175843796418e+05, 3.193232227477912e+02, 1.396922922619482e-01, 9.322216348842417e-01
563, 1.805253668862861e-05, 1.889995927416586e+00, 3.721884265542030e-02, 1.468119839082059e+00, 6.389582680324338e+01, 2.714412559701733e+01, -2.186852575799585e+01, 3.392193164829507e+05, 1.349660262911889e+05, 3.193497247800615e+02, 1.381933666272820e-01, 8.432028333455093e-01
564, 1.724770481814630e-05, 1.899985013199613e+00, 3.802823275327682e-02, 1.556797230856895e+00, 2.607602684722031e+01, 2.976949564782031e+01, -1.699453366166652e+01, 3.593324315594953e+05, 1.434946633327906e+05, 3.201896514828981e+02, 7.701469446279469e-02, 1.056970714735546e+00
565, 1.724770481814630e-05, 1.909985013199639e+00, 3.802823275327682e-02, 1.530346357909583e+00, 3.082375837259853e+01, 3.476124301500939e+01, -1.756362693678139e+01, 3.532901284243914e+05, 1.409936499637500e+05, 3.200467426104665e+02, 9.036904050192755e-02, 9.942835202143022e-01
566, 1.724770481814630e-05, 1.919985013199665e+00, 3.802823275327682e-02, 1.530608138822348e+00, 4.535647877423147e+01, 3.059702179464745e+01, -4.236944600172140e+01, 3.535671718736914e+05, 1.408011621767052e+05, 3.195551443315256e+02, 1.259804696694153e-01, 9.894588681357462e-01
567, 1.632653584238142e-05, 1.929974089558052e+00, 3.883790597319603e-02, 1.566283814728304e+00, 6.870434867009554e+01, 3.758339609671670e+01, 1.067685575009523e+01, 3.619205836756199e+05, 1.439705754240736e+05, 3.193058479303326e+02, 1.406670854840993e-01, 1.068899317041545e+00
