"PointID","x","y","z","Density","Momentum_x","Momentum_y","Momentum_z","Energy","Pressure","Temperature","Mach","Pressure_Coefficient"
1092, 7.384667224806971e-01, 0.000000000000000e+00, -1.351019837243278e-01, 1.236734758259618e+00, 3.052190227492562e+02, 4.175961629483482e-02, 1.527088129707199e+01, 2.961093838588846e+05, 1.033407813364994e+05, 2.902677364726501e+02, 7.224641899929252e-01, 5.052499051690616e-02
1093, 7.952057571457078e-01, 0.000000000000000e+00, -1.840103093889143e-01, 1.245971505439159e+00, 3.062265523411995e+02, 5.751838943677823e-03, 1.326040607280097e+01, 2.982244347771066e+05, 1.042090855723140e+05, 2.905367451080621e+02, 7.189170345431452e-01, 7.228879122581901e-02
1094, 1.740324677177216e-02, 0.000000000000000e+00, -3.468766103865290e-02, 1.252004463390978e+00, 2.697923561342515e+02, -9.284923112400380e-02, -9.942573644977178e+01, 2.982776157586138e+05, 1.061044797878416e+05, 2.943956818173195e+02, 6.667286009384952e-01, 1.197963125185967e-01
1095, -1.710675010473004e-03, 0.000000000000000e+00, -4.022150320297243e-02, 1.350094443057393e+00, 2.535493957964249e+02, 2.968176200011131e-01, -8.172372316184858e+01, 3.189833746773461e+05, 1.170805814491741e+05, 3.012480976363072e+02, 5.662876598980842e-01, 3.949092041353428e-01
1096, -1.531765431614410e-02, 0.000000000000000e+00, -2.501253423497757e-02, 1.407457414347284e+00, 2.171975810255278e+02, -3.975014071949454e-01, -5.723559416765712e+01, 3.298289793747883e+05, 1.247625136753462e+05, 3.079303142463922e+02, 4.530129126271635e-01, 5.874546681948922e-01
1097, 1.659350395902013e-02, 0.000000000000000e+00, -5.763701751113418e-02, 1.265245384834323e+00, 2.849496370753047e+02, -8.840838247732047e-01, -7.799866131336995e+01, 3.017538717707169e+05, 1.069048781989272e+05, 2.935123323018672e+02, 6.789055658133093e-01, 1.398580728879402e-01
1098, -2.548017939110039e-02, 0.000000000000000e+00, -5.085802151044096e-02, 1.367894586749688e+00, 2.555623535409747e+02, 5.144971172650521e-01, -4.508264918362420e+01, 3.226140551016970e+05, 1.191991284344543e+05, 3.027080993509223e+02, 5.431568312267996e-01, 4.480099866471922e-01
1099, -4.241396732165698e-02, 0.000000000000000e+00, -2.733815885441641e-02, 1.396972107318683e+00, 2.430682584409321e+02, 7.515883084961216e-01, -1.720789237469772e+01, 3.283613905207347e+05, 1.228434767099433e+05, 3.054695721897735e+02, 4.971437379977543e-01, 5.393545480464669e-01
1100, 2.905685588620555e-01, 0.000000000000000e+00, -2.576675712535714e-01, 1.186515793592335e+00, 3.190814948036364e+02, 2.112002341828707e-01, 9.872060272795863e-01, 2.859942160662893e+05, 9.723583825605913e+04, 2.846796553033923e+02, 7.939439264984155e-01, -1.024936854974038e-01
1101, 8.057814618195185e-01, 0.000000000000000e+00, -1.145803230144360e-01, 1.246981947439936e+00, 3.004252124560753e+02, 2.476844044532857e-02, 1.541581668833452e+01, 2.980527129057997e+05, 1.047071691456999e+05, 2.916888606900912e+02, 7.035987805816917e-01, 8.477311547581655e-02
1102, 8.564271705316540e-01, 0.000000000000000e+00, -1.583421135224262e-01, 1.255904004432657e+00, 3.022140479542911e+02, -9.041823679493421e-02, 1.264495396894341e+01, 3.001512114529239e+05, 1.054903847177514e+05, 2.917830255149481e+02, 7.023374241159183e-01, 1.044041928323086e-01
1103, 8.667536554488281e-01, 0.000000000000000e+00, -9.561199775614818e-02, 1.258939544443405e+00, 2.952188646240940e+02, 4.422568146981126e-02, 1.500240565527214e+01, 3.003596037649782e+05, 1.062624359139655e+05, 2.932098016293328e+02, 6.830426503010089e-01, 1.237554382580769e-01
1104, 9.182344966936793e-01, 0.000000000000000e+00, -1.342544141182941e-01, 1.269233772440872e+00, 2.973466515331634e+02, 1.581761682198854e-01, 1.087766737605382e+01, 3.027840210773261e+05, 1.071629270406977e+05, 2.932962701364461e+02, 6.818618787631475e-01, 1.463259943074317e-01
1105, 9.652623206088422e-01, 0.000000000000000e+00, -1.735622073174171e-02, 1.292524822943324e+00, 2.674299408465732e+02, 5.617257818205101e-01, 1.597253493638370e+01, 3.061255130064143e+05, 1.113441576597562e+05, 2.992486045068437e+02, 5.968525193855412e-01, 2.511273601856353e-01
1106, 9.096914100016074e-01, 0.000000000000000e+00, -2.057902044661258e-01, 1.262009661535350e+00, 3.032780806295577e+02, 4.085927424363127e-02, 9.103633805181222e+00, 3.015736794863843e+05, 1.060399682726413e+05, 2.918841427231946e+02, 7.009813223803555e-01, 1.181793495897769e-01
1107, 9.831088264236147e-01, 0.000000000000000e+00, -1.786768840444087e-01, 1.271377594966273e+00, 2.992558359767042e+02, 3.048765042075289e-01, 5.245187139456438e+00, 3.033795985571033e+05, 1.072597772914013e+05, 2.930663323942355e+02, 6.849988045046096e-01, 1.487535185183957e-01
1108, 9.735384775064090e-01, 0.000000000000000e+00, -2.694149207141749e-01, 1.261650757061078e+00, 3.043276709580476e+02, 2.281328065566980e-01, 5.268617991435320e+00, 3.015598184933317e+05, 1.059379073284077e+05, 2.916861641724320e+02, 7.036348610978014e-01, 1.156212208155017e-01
1109, 8.601945836944374e-01, 0.000000000000000e+00, -3.236705791377113e-02, 1.252887856439630e+00, 2.831913234338828e+02, -2.073609696159072e-02, 1.838533719405460e+01, 2.982309801577445e+05, 1.064364375085028e+05, 2.951085025145825e+02, 6.567921955888134e-01, 1.281167391366697e-01
1110, 9.784439137352594e-01, 0.000000000000000e+00, -1.010613744213622e-01, 1.279422510250677e+00, 2.896612766481780e+02, 2.573055813487151e-01, 6.819787776162707e+00, 3.045435217180589e+05, 1.086942644204437e+05, 2.951183625628549e+02, 6.566540421806457e-01, 1.847085337172910e-01
1111, 5.455896291197478e+00, 0.000000000000000e+00, 5.004089754551265e+00, 1.220111176226321e+00, 3.123370277822917e+02, -1.443276352281097e-01, 8.978041385653707e+00, 2.929200313726221e+05, 1.011637259096231e+05, 2.880242160086167e+02, 7.516691680636346e-01, -4.042289577434097e-03
1112, 3.281879430498033e+00, 0.000000000000000e+00, 7.347496450035385e-01, 1.217678805703874e+00, 3.092482589628995e+02, -9.681281944695062e-01, -5.565252625405062e+00, 2.921487922092068e+05, 1.011466056410056e+05, 2.885507172399127e+02, 7.448582914513829e-01, -4.471404280442649e-03
1113, 3.881756952125265e+00, 0.000000000000000e+00, 3.194663940076100e-01, 1.216531884825650e+00, 3.080617880115000e+02, -2.225598215831281e-01, -5.483091758157731e+00, 2.918085228858368e+05, 1.011163905064757e+05, 2.887364779298200e+02, 7.424550742474153e-01, -5.228738103288302e-03
1114, 3.497417508139387e-01, 0.000000000000000e+00, 1.016664451522739e+00, 1.161177361659314e+00, 3.237587724279954e+02, -8.077660109917325e-01, 1.041682322638055e+01, 2.807992866930634e+05, 9.424686743084123e+04, 2.819499072443776e+02, 8.275625158862960e-01, -1.774113959975410e-01
1115, 2.500869324510051e-02, 0.000000000000000e+00, 1.168407678462567e+00, 1.192550735119741e+00, 3.172027543785637e+02, 1.815122027539063e-01, 1.771748122681116e+01, 2.872188546959963e+05, 9.796054221277584e+04, 2.853500204656297e+02, 7.855708991804262e-01, -8.432918527226414e-02
1116, 2.200746690066516e+00, 0.000000000000000e+00, -1.508824304601948e+00, 1.226130824544465e+00, 3.112504089880731e+02, -9.302162712372126e-02, 3.447906906667833e+00, 2.941638549217403e+05, 1.018615654482788e+05, 2.885872421441011e+02, 7.443873755114137e-01, 1.344886158786738e-02
1117, -4.129534667721012e+00, 0.000000000000000e+00, 1.834741844556572e+00, 1.221930109541403e+00, 3.119202289128764e+02, 4.052762375248105e-03, 1.107981727484838e+01, 2.932953884239646e+05, 1.013733822910517e+05, 2.881914968134236e+02, 7.494940463342017e-01, 1.212688475833005e-03
1118, -4.670644819415926e+00, 0.000000000000000e+00, 2.906756170187242e+00, 1.221673279804756e+00, 3.119773772694844e+02, 4.266773548716952e-03, 1.102995971497474e+01, 2.932427796916650e+05, 1.013433301956850e+05, 2.881666304844101e+02, 7.498168936224789e-01, 4.594411836176610e-04
1119, 4.671186853295065e-01, 0.000000000000000e+00, 3.027724879279071e-01, 9.666798226750558e-01, 3.349882805882135e+02, -2.449888183501846e+00, -1.541724171894212e+01, 2.396379929154849e+05, 7.258775353329156e+04, 2.608460679155139e+02, 1.069950390538370e+00, -7.202909754754818e-01
1120, 7.725734182060086e-01, 0.000000000000000e+00, -1.362459866367687e+00, 1.228527597182118e+00, 3.105115793905161e+02, 2.960550795288324e-02, 6.437956121503897e+00, 2.946447651070950e+05, 1.021547359533178e+05, 2.888531985930574e+02, 7.409440228113168e-01, 2.079709758882926e-02
1121, -1.353487846291826e+00, 0.000000000000000e+00, -1.842241358523545e-01, 1.229238235138152e+00, 3.102828434909635e+02, 1.188418832702546e-01, 1.169098102815506e+01, 2.947966918706119e+05, 1.022321916764887e+05, 2.889050964983528e+02, 7.402696919372820e-01, 2.273850343867546e-02
1122, 2.400805778142345e+00, 0.000000000000000e+00, -1.007337310407485e+00, 1.225901260747013e+00, 3.115381402410587e+02, -4.455494578002716e-02, 1.418688097648328e-02, 2.941324075802846e+05, 1.018187326386927e+05, 2.885199096305702e+02, 7.452562394582984e-01, 1.237526929937569e-02
1123, 2.893309708544082e+00, 0.000000000000000e+00, -8.452915162261971e-01, 1.222766046778131e+00, 3.115157277764787e+02, -8.787499691257654e-02, -1.755544842838888e+00, 2.934368079336103e+05, 1.015016723036520e+05, 2.883589389764724e+02, 7.473337395054052e-01, 4.428241449102987e-03
