"PointID","x","y","z","Displacement_x","Displacement_y","Displacement_z","Sxx","Syy","Sxy","Szz","Sxz","Syz","Von_Mises_Stress"
1429, 8.041963327392868e-01, 1.924363999654257e+00, 3.631647752929403e-02, -6.138072346995732e-05, -1.034127364955761e-03, 4.009438368425765e-02, -1.031455977640238e+04, 1.614745609677617e+04, -2.784289164355652e+04, -5.405368704785842e+03, 7.318863500572162e+03, 4.592518201991851e+03, 5.607211564886597e+04
1430, 8.168362766190598e-01, 1.961145193449509e+00, 3.428688660563513e-02, -5.850257567487083e-05, -9.928166187054828e-04, 4.112638824290297e-02, 1.089845501308745e+04, 1.832370425995888e+04, -1.577955171594874e+04, 9.635519993508427e+02, 6.789494433318217e+03, 1.714926219077972e+03, 3.349183680019250e+04
1431, 7.437002404348390e-01, 5.566198631206090e-01, 4.545942734135513e-02, 1.958357902373531e-05, -5.757007700942646e-04, 5.571504521605999e-03, -7.674316347709043e+05, -1.841769604019492e+06, 1.162587224116585e+05, -7.628524427681835e+05, 4.044162960390621e+04, 2.739197752303146e+05, 1.195697962956235e+06
1432, 8.862666651959636e-01, 1.770521562017840e+00, 2.238762644783336e-02, -2.897398171579357e-05, -6.020515329353548e-04, 3.605424928688439e-02, 1.761264310267050e+04, 6.370813543643228e+04, -4.911894589110991e+04, 1.022314057282038e+04, -4.503393232917309e+03, 3.170218918624068e+04, 1.132870800406576e+05
1433, 7.680245853802626e-01, 1.209653321431206e+00, 4.189652016909978e-02, -2.966173345420736e-05, -8.953958820680195e-04, 2.064451875159518e-02, -1.543622265074487e+05, -3.079940024717592e+05, -1.518939402510077e+05, -1.766932508191259e+05, -1.299827684925209e+04, 1.849554277783853e+05, 4.393385322968925e+05
1434, 7.927755946758870e-01, 1.240326116806893e+00, 3.811483207383296e-02, -2.875309576281029e-05, -8.130731506975006e-04, 2.147978229886753e-02, -1.339114777795775e+05, -1.744726465683116e+05, -1.631736274506113e+05, -1.655406460525094e+05, -4.800673875776011e+04, 1.801064842006770e+05, 4.306606234660956e+05
1435, 8.819916796788427e-01, 2.639940097518483e-01, 2.315744323943856e-02, 9.554827472793570e-06, -8.669003894828248e-05, 1.228899601027379e-03, -5.294240466929566e+05, 5.825140033554166e+05, -6.306276169605837e+04, -7.338877160179123e+05, -9.177799549859803e+04, 5.058419802015466e+04, 1.245166323578332e+06
1436, 8.029089227104470e-01, 1.817861321709874e+00, 3.652083855181407e-02, -5.808486462196422e-05, -1.000461311898295e-03, 3.717951959397721e-02, 9.306956988915426e+03, 2.492035813385218e+04, -5.438210776118750e+04, 2.027678115434755e+03, 3.417961360446713e+03, 4.732171158664484e+04, 1.266323101464617e+05
1437, 7.663925696423945e-01, 1.030458028604816e+00, 4.214031517629435e-02, -1.599154916913023e-05, -8.142964146262630e-04, 1.604183196736060e-02, -2.151742199274102e+05, -3.211304087360116e+05, -7.219518529013815e+04, -2.262727670661607e+05, -3.030888566049863e+04, 2.002034301764923e+05, 3.857596301970659e+05
1438, 3.787293715083956e-01, 1.256298893981301e-01, 7.866034176162040e-02, -2.309320914943742e-06, -3.106131330027079e-04, 4.279448390715739e-04, -4.553061423309042e+06, -1.362629977725727e+07, 3.518024168176028e+03, -9.188516274197327e+05, -1.304158469790854e+05, 6.999907891014039e+05, 1.140290358188846e+07
1439, 4.203542562415082e-01, 9.999240207404331e-02, 7.715365775005247e-02, -3.962866388512731e-06, -2.511676961826663e-04, 2.631885790722321e-04, -3.623232702896477e+06, -1.099635571093725e+07, -2.829412176626338e+05, -8.882112661060753e+05, -2.857611679903415e+05, 7.751823825132101e+05, 9.181329062086526e+06
