"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      
          0,           0,          30,      -3.307178515,     -0.6489721515,     -0.7295190512,     -0.7063387781,       2.175535572,    0.003912518806,      0.3091472614,    0.007150181835,      0.2765886323,    -0.05021187926,     0.00694424571,   -0.006878948424,    0.007150181835,      0.3090954822,       79.01489467
          0,           0,          31,      -3.378698169,     -0.7204725215,     -0.8207750398,     -0.7842979413,       2.106842902,    0.004080801404,      0.3091395657,    0.007157658001,       0.276497951,     -0.0503960054,    0.006844599954,   -0.006710499763,    0.007157658001,      0.3090936641,       75.75462148
          0,           0,          32,      -3.455070983,      -0.792963265,      -0.912297061,     -0.8579902988,       2.037380242,    0.004130481689,       0.309316785,    0.007163969181,      0.2765451917,    -0.05056252414,    0.006820645109,   -0.006667034607,    0.007163969181,      0.3092725093,        74.8863712
          0,           0,          33,       -3.52397567,     -0.8665932855,     -0.9915955369,     -0.9282688859,       1.968503064,    0.004076644767,      0.3095805702,    0.007167367681,      0.2766804186,    -0.05065646592,    0.006860795048,   -0.006730044705,    0.007167367681,       0.309534255,       75.94004088
          0,           0,          34,      -3.581156323,     -0.9403029908,      -1.063588246,      -1.002523455,       1.903230977,    0.003963704647,      0.3098219266,    0.007167530886,      0.2768331186,    -0.05065759773,    0.006935331868,   -0.006851339241,    0.007167530886,      0.3097715228,       78.16473582
          0,           0,          35,      -3.637765409,       -1.01113161,      -1.141619959,      -1.084849844,       1.841621371,    0.003843138597,      0.3099603891,    0.007165280295,      0.2769414575,    -0.05058066461,    0.007011150395,   -0.006976664118,    0.007165280295,      0.3099056932,       80.65293024
          0,           0,          36,      -3.705293313,      -1.076918121,      -1.228625194,      -1.170740959,       1.779359413,    0.003754987351,      0.3099653865,    0.007161994346,      0.2769718142,    -0.05046353307,    0.007063589475,    -0.00706493607,    0.007161994346,      0.3099076111,       82.54765131
          0,           0,          37,      -3.781653944,      -1.139415419,      -1.312893245,       -1.25151889,       1.713108822,    0.003718102238,      0.3098562048,    0.007159000062,      0.2769240552,    -0.05034980185,    0.007082210664,   -0.007097988328,    0.007159000062,      0.3097972087,       83.33719329
          0,           0,          38,      -3.852771821,      -1.202964034,      -1.382792592,      -1.324870355,       1.644734016,    0.003729883656,      0.3096852755,    0.007157153659,      0.2768241776,    -0.05027307422,    0.007070306091,   -0.007080248738,    0.007157153659,      0.3096267946,       83.02813279
          0,           0,          39,      -3.909991007,      -1.270262649,      -1.445459614,      -1.397146225,       1.578730586,     0.00377299126,      0.3095139723,    0.007156694161,      0.2767098519,    -0.05024792201,     0.00704005774,      -0.007031189,    0.007156694161,      0.3094571002,       82.03410794
          0,           0,          40,      -3.962984925,      -1.340575974,      -1.518236757,      -1.472827417,       1.515723819,     0.00382493601,      0.3093906658,    0.007157340158,      0.2766154025,    -0.05026917406,     0.00700615617,   -0.006974972558,    0.007157340158,      0.3093356817,       80.88780177
          0,           0,          41,      -4.025337854,      -1.411853256,       -1.60719837,      -1.546215195,       1.451654453,    0.003866667775,      0.3093378802,    0.007158529502,      0.2765613735,    -0.05031794356,    0.006980387547,   -0.006931424024,    0.007158529502,      0.3092843847,       80.00115297
          0,           0,          42,      -4.097352382,        -1.4836702,      -1.697384051,      -1.606960058,       1.384316186,    0.003887680524,      0.3093507606,    0.007159682897,      0.2765510252,    -0.05037085426,     0.00696866908,   -0.006910873596,    0.007159682897,      0.3092979906,       79.57206327
          0,           0,          43,      -4.165860463,      -1.556906496,       -1.76367696,      -1.655551326,       1.317555627,    0.003886971246,      0.3094048075,    0.007160398555,      0.2765732675,    -0.05040866108,    0.006970796089,   -0.006913468652,    0.007160398555,      0.3093519798,       79.60048788
          0,           0,          44,      -4.221123392,      -1.630519879,      -1.806412659,      -1.705249693,       1.256650708,     0.00387070962,       0.309468284,    0.007160533936,      0.2766095455,    -0.05042156657,    0.006982215298,   -0.006931935668,    0.007160533936,      0.3094148501,       79.95130464
          0,           0,          45,      -4.271890807,      -1.700336237,      -1.851630073,      -1.767766319,       1.200044525,    0.003848279596,      0.3095141714,     0.00716017961,      0.2766415284,    -0.05041023394,    0.006996686567,   -0.006955953477,     0.00716017961,      0.3094599268,       80.42923174
          0,           0,          46,      -4.333442868,      -1.763010426,      -1.915542156,      -1.844557108,       1.139924776,    0.003828404876,      0.3095278418,    0.007159564091,      0.2766569189,    -0.05038314213,    0.007008737104,    -0.00697629318,    0.007159564091,      0.3094728952,       80.85034155
          0,           0,          47,      -4.409348206,      -1.820508174,      -1.993203623,      -1.927761738,       1.071330618,     0.00381656717,      0.3095089084,    0.007158940064,      0.2766519573,    -0.05035200144,    0.007015186911,   -0.006987462906,    0.007158940064,      0.3094535602,       81.09615122
          0,           0,          48,      -4.487126209,      -1.877861135,      -2.066915152,      -2.007649015,      0.9980681652,    0.003814178325,      0.3094680066,    0.007158494381,      0.2766305965,    -0.05032718435,    0.007015520068,   -0.006988422846,    0.007158494381,         0.3094126,       81.13621867
          0,           0,          49,      -4.550255573,      -1.937190345,      -2.127416827,       -2.08174318,      0.9297368157,     0.00381927616,      0.3094207223,    0.007158304749,      0.2766013927,    -0.05031465755,    0.007011306145,   -0.006981677918,    0.007158304749,      0.3093655224,       81.01554047
          0,           0,          50,      -4.600177605,      -1.995999961,       -2.18501202,      -2.152798633,      0.8708445181,    0.003828096708,      0.3093813324,    0.007158344446,       0.276573647,    -0.05031507283,    0.007005119835,   -0.006971488053,    0.007158344446,      0.3093264643,       80.81857799
          0,           0,          51,         -4.653384,       -2.05138416,      -2.249874509,      -2.217434786,      0.8153113049,    0.003836775117,      0.3093584467,    0.007158520214,      0.2765542141,    -0.05032480452,    0.006999442282,   -0.006962016233,    0.007158520214,      0.3093038954,       80.62980948
