BCGSTAB,FGMRES,CONJUGATE_GRADIENT,SMOOTHER
-3.95215404,-3.941281863,2.378480568,-3.925194373
-3.992836569,-3.981901312,2.378480568,-3.965834806
-4.033721985,-4.023036025,2.378480568,-4.007416887
-4.073835609,-4.063641341,2.378480568,-4.048924342
-4.112133162,-4.1025583,2.378480568,-4.089578185
-4.147624635,-4.138672948,2.378480568,-4.127671236
-4.179585475,-4.171155071,2.378480568,-4.162105477
-4.207762688,-4.199686562,2.378480568,-4.191656669
-4.231545183,-4.223827983,2.378480568,-4.217312462
-4.252791757,-4.245512436,2.378480568,-4.239707151
-4.273340181,-4.265827831,2.378480568,-4.259835307
-4.293407389,-4.286203462,2.378480568,-4.279053346
-4.3143771,-4.30729017,2.378480568,-4.299268023
-4.337459305,-4.330113499,2.378480568,-4.32084708
-4.363121059,-4.355297764,2.378480568,-4.34469308
-4.391438383,-4.383131275,2.378480568,-4.371269248
-4.422462106,-4.413719798,2.378480568,-4.400757432
-4.456314295,-4.447138859,2.378480568,-4.43322917
-4.493067786,-4.48342276,2.378480568,-4.468372486
-4.532588433,-4.522460083,2.378480568,-4.506492217
-4.574460222,-4.563916408,2.378480568,-4.547363683
-4.618003622,-4.607211449,2.378480568,-4.590415498
-4.662340151,-4.651529201,2.378480568,-4.635196426
-4.706465719,-4.695855379,2.378480568,-4.680451439
-4.749333389,-4.739060458,2.378480568,-4.72501247
-4.789973918,-4.78005026,2.378480568,-4.767678953
-4.827667722,-4.817978251,2.378480568,-4.807345809
-4.862118882,-4.852456043,2.378480568,-4.843296488
-4.893524966,-4.883657594,2.378480568,-4.874755141
-4.92250323,-4.912257755,2.378480568,-4.903195811
-4.949968991,-4.939250189,2.378480568,-4.929503576
-4.977001561,-4.965736925,2.378480568,-4.95474427
-5.004648439,-4.992751466,2.378480568,-4.980510662
-5.033752144,-5.021144373,2.378480568,-5.007312433
-5.064905797,-5.051541747,2.378480568,-5.036120095
-5.09849246,-5.084358879,2.378480568,-5.067429544
-5.134721228,-5.119829287,2.378480568,-5.101427008
-5.173639101,-5.158022037,2.378480568,-5.138172283
-5.215132891,-5.198851251,2.378480568,-5.177385439
-5.258928369,-5.24208257,2.378480568,-5.219374036
-5.304576075,-5.28731811,2.378480568,-5.263928637
-5.351423802,-5.333952598,2.378480568,-5.310447329
-5.39860041,-5.381130217,2.378480568,-5.358370946
-5.445035624,-5.427749323,2.378480568,-5.406369205
-5.489548961,-5.472560596,2.378480568,-5.453104973
-5.531046263,-5.514385201,2.378480568,-5.49722538
-5.568805342,-5.552416739,2.378480568,-5.537547493
-5.601900743,-5.585820067,2.378480568,-5.572744145
-5.631902837,-5.616051209,2.378480568,-5.60386024
-5.659645481,-5.644073741,2.378480568,-5.631716473
-5.686714347,-5.671222989,2.378480568,-5.657516656
-5.713719515,-5.698387898,2.378480568,-5.682724821
-5.742439199,-5.726913799,2.378480568,-5.709059469
-5.773605121,-5.757625701,2.378480568,-5.737121931
-5.807411049,-5.790924771,2.378480568,-5.767778701
-5.84396498,-5.827022699,2.378480568,-5.801435856
-5.883492661,-5.866134276,2.378480568,-5.838280191
-5.926250985,-5.908456443,2.378480568,-5.878153247
-5.972314285,-5.954031788,2.378480568,-5.921436157
-6.021436007,-6.002647676,2.378480568,-5.968128588
-6.073014653,-6.053791257,2.378480568,-6.017862219
-6.126128619,-6.106629582,2.378480568,-6.06998571
-6.179596798,-6.160007793,2.378480568,-6.123773921
-6.232038877,-6.212490906,2.378480568,-6.177708123
-6.281993627,-6.262514496,2.378480568,-6.230054459
-6.327715482,-6.308114144,2.378480568,-6.2785632
-6.36887856,-6.34921063,2.378480568,-6.322414729
-6.406026109,-6.386194718,2.378480568,-6.36115881
-6.439782792,-6.419741009,2.378480568,-6.395073949
-6.471754809,-6.451092313,2.378480568,-6.425409693
-6.502858206,-6.481849387,2.378480568,-6.453972088
-6.534990018,-6.513512221,2.378480568,-6.48249828
-6.569411821,-6.547133816,2.378480568,-6.512277412
-6.606488231,-6.583276807,2.378480568,-6.544294342
-6.64620638,-6.622195446,2.378480568,-6.578918198
-6.688769148,-6.664115558,2.378480568,-6.616454936
-6.734094585,-6.709267274,2.378480568,-6.65750516
-6.783187711,-6.757845276,2.378480568,-6.702295174
-6.835962075,-6.809868471,2.378480568,-6.7506006
-6.892002528,-6.864990679,2.378480568,-6.802052967
-6.94967263,-6.922391307,2.378480568,-6.856182302
-7.008095797,-6.98078918,2.378480568,-6.912212502
-7.06578997,-7.038513097,2.378480568,-6.968845007
-7.120467045,-7.093442183,2.378480568,-7.02428021
