BCGSTAB,FGMRES,CONJUGATE_GRADIENT,SMOOTHER
-2.034667668,-2.024424092,5.120621352,-2.004016766
-2.07015715,-2.060722495,5.120621352,-2.042574248
-2.1011695,-2.092229574,5.120621352,-2.075460398
-2.126654841,-2.118188164,5.120621352,-2.102863705
-2.148008372,-2.140232249,5.120621352,-2.12600048
-2.168081778,-2.160696209,5.120621352,-2.146679451
-2.188997214,-2.181250105,5.120621352,-2.166954731
-2.212447698,-2.204218217,5.120621352,-2.188910629
-2.239258486,-2.230705801,5.120621352,-2.213838689
-2.269648196,-2.260712186,5.120621352,-2.242420376
-2.302896449,-2.293444603,5.120621352,-2.274177783
-2.337658865,-2.327714966,5.120621352,-2.308071809
-2.372811465,-2.362513631,5.120621352,-2.342929991
-2.408054174,-2.397481951,5.120621352,-2.377562641
-2.443879846,-2.432961923,5.120621352,-2.412327228
-2.481082577,-2.469669663,5.120621352,-2.447999029
-2.5202477,-2.508277319,5.120621352,-2.485409785
-2.561454516,-2.549075978,5.120621352,-2.52551042
-2.604153851,-2.59171952,5.120621352,-2.56769159
-2.647143882,-2.635060414,5.120621352,-2.61122136
-2.688706101,-2.677222105,5.120621352,-2.654493027
-2.727064744,-2.71611314,5.120621352,-2.695390138
-2.761138495,-2.750344427,5.120621352,-2.731959401
-2.791120919,-2.780003989,5.120621352,-2.762555804
-2.818402023,-2.806637128,5.120621352,-2.788963596
-2.844945578,-2.832468261,5.120621352,-2.813573966
-2.872606552,-2.859520294,5.120621352,-2.838590177
-2.902667794,-2.88910151,5.120621352,-2.865889758
-2.935626122,-2.921659555,5.120621352,-2.89651763
-2.971196366,-2.956850489,5.120621352,-2.930580589
-3.008513467,-2.993771478,5.120621352,-2.967180103
-3.0465242,-3.031365495,5.120621352,-3.005010225
-3.084475696,-3.068894783,5.120621352,-3.042787997
-3.122243089,-3.106246435,5.120621352,-3.079400869
-3.160313685,-3.143917975,5.120621352,-3.115672756
-3.199499416,-3.182748262,5.120621352,-3.152743452
-3.240528896,-3.223532761,5.120621352,-3.191717191
-3.283636651,-3.266599149,5.120621352,-3.233715476
-3.32822893,-3.311409251,5.120621352,-3.27791964
-3.372735659,-3.356348023,5.120621352,-3.323331675
-3.414882636,-3.398983864,5.120621352,-3.367822337
-3.452579796,-3.437010977,5.120621352,-3.408802596
-3.484374875,-3.469167304,5.120621352,-3.443318003
-3.511905387,-3.497098323,5.120621352,-3.472336513
-3.53785381,-3.523213643,5.120621352,-3.497930775
-3.564075178,-3.549352141,5.120621352,-3.522638946
-3.593543428,-3.578321787,5.120621352,-3.548807174
-3.627200661,-3.611410564,5.120621352,-3.578373158
-3.664625936,-3.64837031,5.120621352,-3.612092864
-3.704633477,-3.687934577,5.120621352,-3.649684206
-3.745358883,-3.728323608,5.120621352,-3.689547047
-3.785202405,-3.768060659,5.120621352,-3.729775597
-3.823801771,-3.806706941,5.120621352,-3.768468593
-3.862067967,-3.844947525,5.120621352,-3.805950974
-3.901443311,-3.884060706,5.120621352,-3.843198529
-3.943135562,-3.925287952,5.120621352,-3.881658193
-3.987681283,-3.969386421,5.120621352,-3.922526337
-4.034747815,-4.016278459,5.120621352,-3.967088797
