BCGSTAB,FGMRES,CONJUGATE_GRADIENT,SMOOTHER
-0.6853766552,-0.6832463666,5.05888766,-0.6621875209
-0.71346468,-0.7134908441,5.05888766,-0.6956266298
-0.7355632687,-0.7369340264,5.05888766,-0.7225513514
-0.7530994907,-0.7550984668,5.05888766,-0.743371864
-0.7694829866,-0.7716908358,5.05888766,-0.7611554863
-0.7885303462,-0.7906703556,5.05888766,-0.7797423486
-0.8126100618,-0.8145363152,5.05888766,-0.8023114975
-0.8418826171,-0.8443845809,5.05888766,-0.8301142177
-0.8763209977,-0.8797115144,5.05888766,-0.8636048819
-0.9147754101,-0.9184125394,5.05888766,-0.9015459255
-0.9528688073,-0.9573860353,5.05888766,-0.9414209385
-0.9875409586,-0.9932329383,5.05888766,-0.9798299625
-1.017240944,-1.02356215,5.05888766,-1.013615717
-1.041744878,-1.047918016,5.05888766,-1.040516337
-1.061836597,-1.067803791,5.05888766,-1.062675511
-1.079638579,-1.085410215,5.05888766,-1.08099882
-1.097051537,-1.102510022,5.05888766,-1.097946536
-1.114959912,-1.120077784,5.05888766,-1.11503856
-1.133318345,-1.138186179,5.05888766,-1.132889336
-1.151487582,-1.156288819,5.05888766,-1.151331827
-1.168797942,-1.173684006,5.05888766,-1.169678248
-1.184974912,-1.189917002,5.05888766,-1.187119801
-1.200444828,-1.205213677,5.05888766,-1.203352976
-1.21624098,-1.220440855,5.05888766,-1.218805467
-1.233497867,-1.236736194,5.05888766,-1.234484158
-1.253047918,-1.255085944,5.05888766,-1.251505118
-1.275111922,-1.276152175,5.05888766,-1.270851453
-1.300627555,-1.301034115,5.05888766,-1.293119871
-1.328021116,-1.327955966,5.05888766,-1.318323171
-1.356628231,-1.356195529,5.05888766,-1.34592879
-1.384745273,-1.384142504,5.05888766,-1.375055244
-1.413160087,-1.412148867,5.05888766,-1.404700559
-1.441515732,-1.439822621,5.05888766,-1.434019886
-1.469900222,-1.467250968,5.05888766,-1.462527703
-1.498586529,-1.494776241,5.05888766,-1.490188999
-1.527103823,-1.522866927,5.05888766,-1.517327885
-1.556004534,-1.551407506,5.05888766,-1.544763184
-1.585337617,-1.580266948,5.05888766,-1.572451141
-1.61484924,-1.6091446,5.05888766,-1.600699027
-1.644324726,-1.637893114,5.05888766,-1.629235157
-1.67362104,-1.666449105,5.05888766,-1.657572403
-1.702667818,-1.694790268,5.05888766,-1.685579506
-1.731526116,-1.723016007,5.05888766,-1.713552477
-1.76042358,-1.751414719,5.05888766,-1.741752807
-1.789712282,-1.780412062,5.05888766,-1.770365903
-1.819769716,-1.810427709,5.05888766,-1.799682041
-1.850877206,-1.841719029,5.05888766,-1.830076718
-1.88310125,-1.874259189,5.05888766,-1.862842938
-1.916215768,-1.907695323,5.05888766,-1.896366099
-1.949727387,-1.941424057,5.05888766,-1.930215084
-1.983018661,-1.974770972,5.05888766,-1.962978033
