BCGSTAB,FGMRES,CONJUGATE_GRADIENT,SMOOTHER
0.7062957322,0.7060308225,0.2373821384,0.7058589078
0.7058620744,0.7056079742,0.2373821384,0.7054115209
0.7055730175,0.705321476,0.2373821384,0.7051069848
0.705415056,0.7051679747,0.2373821384,0.704941114
0.7053589533,0.7051247181,0.2373821384,0.7048944593
0.7053752567,0.7051583068,0.2373821384,0.7049365142
0.7054324113,0.7052317291,0.2373821384,0.7050278172
0.7054958282,0.7053102297,0.2373821384,0.7051341149
0.7055337597,0.7053643537,0.2373821384,0.7052237803
0.70552365,0.7053709772,0.2373821384,0.7052664836
0.7054507795,0.7053129943,0.2373821384,0.7052398352
0.7052999845,0.7051804759,0.2373821384,0.7051313679
0.7050730304,0.7049739699,0.2373821384,0.7049442279
0.7047898926,0.7047038893,0.2373821384,0.7046891572
0.7044634419,0.704387349,0.2373821384,0.7043813398
0.7041085956,0.7040439212,0.2373821384,0.7040430429
0.703747828,0.7036923859,0.2373821384,0.7036915007
0.7033967943,0.7033490543,0.2373821384,0.7033404075
0.7030692439,0.7030265782,0.2373821384,0.7030069547
0.7027737607,0.7027347904,0.2373821384,0.702705009
0.7025158546,0.7024810067,0.2373821384,0.7024418003
0.7022990546,0.7022687352,0.2373821384,0.7022217555
0.7021231425,0.7020966667,0.2373821384,0.7020452395
0.7019822052,0.7019592798,0.2373821384,0.7019068601
0.7018669755,0.701848637,0.2373821384,0.7017987833
0.7017685851,0.7017560569,0.2373821384,0.7017123392
0.7016811332,0.7016733411,0.2373821384,0.7016393361
0.7015984966,0.7015932548,0.2373821384,0.7015708686
0.7015104563,0.7015097143,0.2373821384,0.701498905
0.7014109207,0.7014180254,0.2373821384,0.7014178377
0.7013018446,0.7013151671,0.2373821384,0.7013244705
0.7011842625,0.7012002283,0.2373821384,0.701217783
0.7010570174,0.7010744665,0.2373821384,0.7010970306
0.700922257,0.700940852,0.2373821384,0.7009666516
0.7007836048,0.7008032418,0.2373821384,0.70083166
0.7006456721,0.7006657245,0.2373821384,0.700694174
0.7005121492,0.7005320866,0.2373821384,0.7005582304
0.7003858874,0.7004054891,0.2373821384,0.700427982
0.7002694823,0.7002884175,0.2373821384,0.7003069025
0.7001648823,0.7001827333,0.2373821384,0.7001974504
0.7000730818,0.7000895943,0.2373821384,0.7001010045
0.6999940596,0.7000092228,0.2373821384,0.7000178884
0.6999268417,0.6999408814,0.2373821384,0.6999474933
0.6998698314,0.6998831363,0.2373821384,0.6998885139
0.6998212144,0.6998341661,0.2373821384,0.6998391916
0.6997789445,0.6997918187,0.2373821384,0.6997972696
0.6997417618,0.699754444,0.2373821384,0.6997604793
0.6997082367,0.6997205621,0.2373821384,0.6997267645
0.6996759185,0.6996881174,0.2373821384,0.6996944005
0.6996424847,0.6996550371,0.2373821384,0.6996620922
0.6996078271,0.699620453,0.2373821384,0.6996290128
0.699573107,0.6995849246,0.2373821384,0.6995948043
0.6995380105,0.699548871,0.2373821384,0.6995595288
0.69950306,0.6995127518,0.2373821384,0.6995235853
0.6994684134,0.6994776739,0.2373821384,0.6994876064
0.6994345167,0.6994439721,0.2373821384,0.6994532851
0.6994024822,0.699411691,0.2373821384,0.6994208134
0.6993730609,0.6993814984,0.2373821384,0.6993898789
0.6993465637,0.6993539176,0.2373821384,0.6993612399
0.6993230549,0.6993292706,0.2373821384,0.6993349549
0.6993024824,0.6993076938,0.2373821384,0.6993116814
0.6992847032,0.6992891287,0.2373821384,0.6992919496
0.6992694628,0.6992733162,0.2373821384,0.6992753454
0.6992563976,0.6992598442,0.2373821384,0.6992613446
0.6992450748,0.6992482319,0.2373821384,0.6992494241
0.6992350487,0.6992380048,0.2373821384,0.6992390738
0.6992259062,0.6992287359,0.2373821384,0.6992299402
0.699217294,0.6992200601,0.2373821384,0.6992216609
