BCGSTAB,FGMRES,CONJUGATE_GRADIENT,SMOOTHER
2.264268988,2.257093891,8.099250764,2.258507702
2.25722481,2.251066647,8.099250764,2.253802896
2.247175737,2.241891673,8.099250764,2.246089964
2.233511766,2.228968309,8.099250764,2.234541602
2.216073581,2.212218081,8.099250764,2.218951439
2.195076333,2.191875084,8.099250764,2.199488469
2.170901987,2.168296543,8.099250764,2.176491733
2.143973158,2.141894451,8.099250764,2.150381208
2.114769132,2.113147339,8.099250764,2.121636333
2.083836122,2.082631771,8.099250764,2.090862767
2.051629868,2.050779121,8.099250764,2.058476888
2.018906424,2.018261915,8.099250764,2.02513916
1.985982011,1.985437601,8.099250764,1.99170409
1.954273411,1.95383372,8.099250764,1.959281144
1.924677776,1.924449026,8.099250764,1.929081483
1.8985526,1.898683072,8.099250764,1.902083584
1.87491148,1.875923971,8.099250764,1.878675684
1.853698702,1.85569421,8.099250764,1.858484026
1.833875388,1.837062536,8.099250764,1.840478488
1.814125521,1.818711033,8.099250764,1.823276198
1.793605243,1.79905787,8.099250764,1.805493304
1.771164233,1.777505864,8.099250764,1.78556499
1.746225817,1.753388699,8.099250764,1.763274232
1.718588808,1.72648588,8.099250764,1.73798122
1.688211697,1.696792998,8.099250764,1.709536319
1.655183182,1.664424121,8.099250764,1.67839344
1.619727304,1.629570954,8.099250764,1.644419723
1.582193628,1.592514638,8.099250764,1.607936199
1.543039158,1.553652479,8.099250764,1.569356396
1.502821759,1.513511519,8.099250764,1.529175105
1.462229725,1.472778099,8.099250764,1.488040939
1.42211139,1.432322792,8.099250764,1.446818708
1.383464509,1.393188241,8.099250764,1.406148134
1.347335621,1.356490827,8.099250764,1.367614537
1.314595144,1.323196197,8.099250764,1.332322735
1.285683339,1.293842671,8.099250764,1.301666957
1.26124217,1.268969584,8.099250764,1.275139182
1.239669907,1.246927759,8.099250764,1.252344529
1.219248446,1.226657561,8.099250764,1.232182969
1.199450414,1.20657447,8.099250764,1.213142119
1.178721848,1.185821029,8.099250764,1.193289439
1.155964126,1.163342481,8.099250764,1.17211537
1.130746969,1.13853299,8.099250764,1.148680178
1.102869649,1.111069088,8.099250764,1.122511563
1.072174692,1.080801358,8.099250764,1.093389351
1.038571298,1.047669787,8.099250764,1.061222337
1.002106924,1.011709811,8.099250764,1.026321059
0.9630057088,0.9730954874,8.099250764,0.9885332263
0.9216681746,0.9321599813,8.099250764,0.9481512408
0.8786577309,0.8894029763,8.099250764,0.9056735726
