"arc_length","Vorticity_Magnitude"
0.1118,nan
0.112,nan
0.1122,nan
0.1124,nan
0.1126,nan
0.1128,nan
0.113,nan
0.1132,nan
0.1134,nan
0.1136,nan
0.1138,nan
0.114,nan
0.1142,nan
0.1144,nan
0.1146,nan
0.1148,nan
0.115,nan
0.1152,nan
0.1154,nan
0.1156,nan
0.1158,nan
0.116,nan
0.1162,nan
0.1164,nan
0.1166,nan
0.1168,nan
0.117,nan
0.1172,nan
0.1174,nan
0.1176,nan
0.1178,nan
0.118,nan
0.1182,nan
0.1184,nan
0.1186,nan
0.1188,nan
0.119,nan
0.1192,nan
0.1194,nan
0.1196,nan
0.1198,nan
0.12,nan
0.1202,nan
0.1204,nan
0.1206,nan
0.1208,nan
0.121,nan
0.1212,nan
0.1214,nan
0.1216,nan
0.1218,nan
0.122,nan
0.1222,nan
0.1224,nan
0.1226,nan
0.1228,nan
0.123,nan
0.1232,nan
0.1234,nan
0.1236,nan
0.1238,nan
0.124,nan
0.1242,nan
0.1244,455.552
0.1246,455.504
0.1248,455.456
0.125,455.408
0.1252,455.361
0.1254,455.314
0.1256,455.267
0.1258,455.221
0.126,455.174
0.1262,455.128
0.1264,455.082
0.1266,455.037
0.1268,454.991
0.127,454.946
0.1272,454.901
0.1274,454.856
0.1276,454.812
0.1278,454.768
0.128,454.724
0.1282,452.969
0.1284,452.936
0.1286,452.904
0.1288,452.871
0.129,452.839
0.1292,452.807
0.1294,452.775
0.1296,452.743
0.1298,452.712
0.13,452.68
0.1302,452.65
0.1304,452.619
0.1306,452.588
0.1308,452.558
0.131,452.528
0.1312,452.498
0.1314,452.469
0.1316,452.44
0.1318,452.411
0.132,452.382
0.1322,452.353
0.1324,452.325
0.1326,452.297
0.1328,452.269
0.133,452.241
0.1332,452.214
0.1334,452.187
0.1336,452.16
0.1338,452.133
0.134,452.107
0.1342,452.081
0.1344,452.055
0.1346,452.029
0.1348,452.004
0.135,451.978
0.1352,451.953
0.1354,451.929
0.1356,451.904
0.1358,451.88
0.136,451.856
0.1362,451.832
0.1364,451.808
0.1366,451.785
0.1368,451.762
0.137,451.739
0.1372,451.717
0.1374,451.694
0.1376,451.672
0.1378,451.65
0.138,451.628
0.1382,451.607
0.1384,451.586
0.1386,451.565
0.1388,451.544
0.139,451.524
0.1392,451.504
0.1394,451.484
0.1396,451.464
0.1398,451.444
0.14,451.425
0.1402,451.406
0.1404,451.387
0.1406,451.369
0.1408,451.35
0.141,451.332
0.1412,451.314
0.1414,451.297
0.1416,451.279
0.1418,451.262
0.142,451.245
0.1422,451.229
0.1424,nan
0.1426,nan
0.1428,nan
0.143,472.774
0.1432,472.678
0.1434,472.583
0.1436,472.488
0.1438,472.392
0.144,472.297
0.1442,472.202
0.1444,472.107
0.1446,472.011
0.1448,471.916
0.145,471.821
0.1452,471.726
0.1454,471.63
0.1456,471.535
0.1458,471.44
0.146,471.344
0.1462,471.249
0.1464,471.154
0.1466,471.059
0.1468,470.963
0.147,470.868
0.1472,470.773
0.1474,470.678
0.1476,470.582
0.1478,470.487
0.148,470.392
0.1482,470.297
0.1484,470.201
0.1486,470.106
0.1488,470.011
0.149,469.916
0.1492,469.82
0.1494,469.725
0.1496,469.63
0.1498,469.535
0.15,469.44
0.1502,469.344
0.1504,469.249
0.1506,469.154
0.1508,469.059
0.151,468.963
0.1512,468.868
0.1514,468.773
0.1516,468.678
0.1518,468.583
0.152,468.487
0.1522,468.392
0.1524,468.297
0.1526,468.202
0.1528,468.107
0.153,468.011
0.1532,467.916
0.1534,467.821
0.1536,467.726
0.1538,467.631
0.154,467.535
0.1542,467.44
0.1544,467.345
0.1546,467.25
0.1548,nan
0.155,nan
0.1552,nan
0.1554,nan
0.1556,nan
0.1558,nan
0.156,nan
0.1562,nan
0.1564,nan
0.1566,nan
0.1568,nan
0.157,nan
0.1572,nan
0.1574,nan
0.1576,nan
0.1578,nan
0.158,nan
0.1582,nan
0.1584,nan
0.1586,nan
0.1588,nan
0.159,nan
0.1592,nan
0.1594,nan
0.1596,nan
0.1598,nan
0.16,nan
0.1602,nan
0.1604,nan
0.1606,nan
0.1608,nan
0.161,nan
0.1612,nan
0.1614,nan
0.1616,nan
0.1618,nan
0.162,nan
0.1622,nan
0.1624,nan
0.1626,nan
0.1628,nan
0.163,nan
0.1632,nan
0.1634,nan
0.1636,nan
0.1638,nan
0.164,nan
0.1642,nan
0.1644,nan
0.1646,nan
0.1648,nan
0.165,nan
0.1652,nan
0.1654,352.051
0.1656,352.053
0.1658,352.055
0.166,352.057
0.1662,352.059
0.1664,352.061
0.1666,352.064
0.1668,352.066
0.167,352.068
0.1672,352.07
0.1674,352.073
0.1676,352.075
0.1678,352.078
0.168,352.08
0.1682,352.082
0.1684,352.085
0.1686,352.087
0.1688,352.09
0.169,352.093
0.1692,352.095
0.1694,352.098
0.1696,352.101
0.1698,352.103
0.17,352.106
0.1702,352.109
0.1704,352.112
0.1706,352.115
