"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      
          0,           1,          12,       -1.38588962,      0.9195675398,      0.8992078424,       4.106112231,    0.008309923425,      0.3660503635,                 0,                 0,                 0,     0.07959148724,   -0.004470112211,      0.3661173877,                 0,        44.0497878
          0,           1,          13,      -1.402874053,      0.8809603307,      0.8596865687,       4.084761456,    0.008630032092,       0.362322673,                 0,                 0,                 0,     0.08014206291,   -0.004020104023,      0.3624031396,                 0,       41.98393113
          0,           1,          14,      -1.423178333,      0.8313908742,      0.8095589724,       4.060705651,    0.009037216187,      0.3592434974,                 0,                 0,                 0,     0.08042711137,   -0.003505706292,      0.3593400502,                 0,       39.75156618
          0,           1,          15,       -1.44961064,      0.7759906742,      0.7577476103,       4.032310656,    0.009525571616,      0.3567738293,                 0,                 0,                 0,     0.08057534272,   -0.002931458184,        0.35688893,                 0,       37.45432229
          0,           1,          16,      -1.479480637,      0.7227827883,      0.7151278355,       4.002468619,     0.01005184239,       0.354631732,                 0,                 0,                 0,     0.08058366061,    -0.00233074988,      0.3547665042,                 0,       35.28027183
          0,           1,          17,      -1.511857708,       0.671127894,      0.6799261467,       3.971585653,     0.01056540851,      0.3527406389,                 0,                 0,                 0,     0.08049449006,    -0.00175149842,      0.3528944863,                 0,       33.38637013
          0,           1,          18,      -1.545119158,      0.6211586724,       0.645742364,       3.940576048,      0.0110411309,      0.3511212895,                 0,                 0,                 0,     0.08038689373,    -0.00121955134,      0.3512927258,                 0,       31.80120701
          0,           1,          19,      -1.578882762,      0.5726709233,      0.6114053614,       3.908968301,     0.01145837018,      0.3497542428,                 0,                 0,                 0,     0.08030942123,  -0.0007548569957,      0.3499410733,                 0,        30.5239085
          0,           1,          20,      -1.613047713,      0.5229389301,      0.5770553431,       3.876198971,     0.01180550645,      0.3485640085,                 0,                 0,                 0,      0.0802764206,  -0.0003663936058,      0.3487636789,                 0,        29.5255447
          0,           1,          21,       -1.64881642,      0.4674894879,      0.5408251466,       3.840819306,     0.01208304322,      0.3474935864,                 0,                 0,                 0,     0.08029473758,  -5.166871534e-05,      0.3477035948,                 0,       28.75878039
