"arc_length","Displacement_Magnitude","Von_Mises_Stress"
0.920027,0.0100299,1.10667e+06
0.921838,0.0100653,1.06477e+06
0.923649,0.0101007,987973
0.92546,0.010136,911181
0.927271,0.0101717,871901
0.929083,0.0102075,839386
0.930894,0.0102433,806872
0.932705,0.010279,774357
0.934516,0.0103148,741842
0.936327,0.0103506,709328
0.938138,0.0103863,676812
0.939949,0.0104222,647067
0.94176,0.0104582,671527
0.943571,0.0104943,697013
0.945382,0.0105305,729052
0.947193,0.0105667,761091
0.949004,0.0106029,793129
0.950815,0.0106391,825168
0.952627,0.0106753,857207
0.954438,0.0107115,889245
0.956249,0.0107477,921285
0.95806,0.0107839,953323
0.959871,0.0108201,982349
0.961682,0.0108566,985143
0.963493,0.0108931,987937
0.965304,0.0109297,973192
0.967115,0.0109663,944036
0.968926,0.0110032,921800
0.970737,0.0110401,901741
0.972548,0.011077,881682
0.974359,0.011114,865531
0.976171,0.011151,851959
0.977982,0.011188,838387
0.979793,0.011225,824815
0.981604,0.011262,811243
0.983415,0.0112991,797671
0.985226,0.0113361,784099
0.987037,0.0113731,770527
0.988848,0.0114101,758252
0.990659,0.011447,750018
0.99247,0.0114841,755555
0.994281,0.0115212,793367
0.996092,0.0115583,831177
0.997903,0.0115957,827966
0.999715,0.0116334,808510
1.00153,0.0116711,789053
1.00334,0.011709,793610
1.00515,0.0117468,802856
1.00696,0.0117847,812102
1.00877,0.0118225,821348
1.01058,0.0118603,831020
1.01239,0.0118982,841770
1.0142,0.011936,852520
1.01601,0.0119738,863270
1.01783,0.0120118,856485
1.01964,0.0120498,825065
1.02145,0.0120878,793643
1.02326,0.0121259,762224
1.02507,0.012164,743375
1.02688,0.0122022,745704
1.02869,0.0122405,749789
1.0305,0.0122787,753874
1.03231,0.0123169,757959
1.03412,0.0123551,762044
1.03594,0.0123933,766128
1.03775,0.0124315,770213
1.03956,0.0124698,781644
1.04137,0.0125084,822417
1.04318,0.012547,863191
1.04499,0.0125856,903964
1.0468,0.0126243,932890
1.04861,0.0126632,946118
1.05042,0.012702,954364
1.05224,0.0127409,962609
1.05405,0.0127797,970855
1.05586,0.0128186,992285
1.05767,0.0128575,1.04861e+06
1.05948,0.0128965,1.09231e+06
1.06129,0.0129357,1.0947e+06
1.0631,0.0129748,1.0971e+06
1.06491,0.013014,1.09949e+06
1.06672,0.0130532,1.096e+06
1.06854,0.0130923,1.07429e+06
1.07035,0.0131318,1.05498e+06
1.07216,0.0131712,1.03567e+06
1.07397,0.0132106,1.01636e+06
1.07578,0.01325,997054
1.07759,0.0132894,967166
1.0794,0.0133287,925285
1.08121,0.013368,883406
1.08302,0.0134073,838895
1.08484,0.0134466,793492
1.08665,0.0134859,748085
1.08846,0.0135255,725331
1.09027,0.0135654,733018
1.09208,0.0136052,740704
1.09389,0.0136451,748532
1.0957,0.0136849,756932
1.09751,0.0137248,765334
1.09932,0.0137646,773734
1.10113,0.0138045,782136
1.10295,0.0138443,791353
1.10476,0.0138843,804048
1.10657,0.0139242,816742
1.10838,0.0139644,865148
1.11019,0.0140046,914207
1.112,0.0140449,914143
1.11381,0.0140853,903631
1.11562,0.0141257,860855
1.11743,0.0141659,798095
1.11925,0.0142063,763838
1.12106,0.0142467,763188
1.12287,0.0142872,762537
1.12468,0.0143276,761887
1.12649,0.0143681,761236
1.1283,0.0144085,760586
1.13011,0.014449,759936
1.13192,0.0144895,759285
1.13373,0.0145299,756035
1.13555,0.0145703,752509
1.13736,0.0146111,765658
1.13917,0.0146519,743434
1.14098,0.0146926,721210
1.14279,0.0147334,698985
1.1446,0.0147742,676762
1.14641,0.0148152,661411
1.14822,0.0148563,649825
1.15003,0.0148974,649621
1.15184,0.0149385,653761
1.15366,0.0149795,657902
1.15547,0.0150206,662042
1.15728,0.0150617,666183
1.15909,0.0151027,670324
1.1609,0.0151438,674465
1.16271,0.0151851,717177
1.16452,0.0152264,770085
1.16633,0.0152677,810507
1.16814,0.015309,824688
1.16996,0.0153503,807748
1.17177,0.0153918,755378
1.17358,0.0154332,703011
1.17539,0.0154746,684583
1.1772,0.015516,667706
1.17901,0.0155574,650829
1.18082,0.0155989,641712
1.18263,0.0156404,641032
1.18444,0.0156819,640351
1.18626,0.0157234,639671
1.18807,0.0157649,638990
1.18988,0.0158065,635827
1.19169,0.0158483,624202
1.1935,0.0158901,612577
1.19531,0.0159319,600952
1.19712,0.0159738,611622
1.19893,0.0160159,631483
1.20074,0.016058,651346
1.20256,0.0161,673360
1.20437,0.0161421,700024
1.20618,0.0161842,726686
1.20799,0.0162263,753349
1.2098,0.0162685,781006
1.21161,0.0163107,808960
1.21342,0.0163529,836911
1.21523,0.0163951,853900
1.21704,0.0164375,849409
1.21885,0.0164798,830767
1.22067,0.0165221,794723
1.22248,0.0165643,758677
1.22429,0.0166066,722633
1.2261,0.016649,711324
1.22791,0.0166914,699769
1.22972,0.0167339,688212
1.23153,0.0167763,676657
1.23334,0.0168187,665100
1.23515,0.0168612,653545
1.23697,0.0169036,641988
1.23878,0.0169461,630429
1.24059,0.0169887,636515
1.2424,0.0170313,642600
1.24421,0.0170739,648687
1.24602,0.0171165,654772
1.24783,0.0171593,642454
1.24964,0.0172022,618403
1.25145,0.0172451,594351
1.25327,0.0172879,570321
1.25508,0.017331,555562
1.25689,0.0173741,540804
1.2587,0.0174172,526045
1.26051,0.0174603,511287
1.26232,0.0175033,496528
1.26413,0.0175464,481770
1.26594,0.0175895,467011
1.26775,0.0176326,452253
1.26956,0.0176757,443636
1.27138,0.0177189,475748
1.27319,0.0177621,507863
1.275,0.0178053,539975
1.27681,0.0178485,557705
1.27862,0.0178916,510614
1.28043,0.0179348,463521
1.28224,0.0179779,416430
1.28405,0.0180212,382339
1.28586,0.0180646,392858
1.28768,0.018108,403377
1.28949,0.0181514,413896
1.2913,0.0181948,424416
1.29311,0.0182382,434935
1.29492,0.0182816,445454
1.29673,0.018325,455974
1.29854,0.0183686,461086
1.30035,0.0184124,457909
1.30216,0.0184562,454733
