"PointID","x","y","z","Density","Momentum_x","Momentum_y","Momentum_z","Energy","Pressure","Temperature","Mach","Pressure_Coefficient"
782, 6.250866195611279e-01, 3.852443258267931e-01, -2.838005476495245e-02, 1.225504206691307e+00, 2.798999610809974e+02, 1.382002186747692e+01, 1.370816600278986e+01, 2.771872145362041e+05, 9.802745622543721e+04, 2.778667099291622e+02, 6.841561589100444e-01, -8.265200442236331e-02
783, 6.429230870300930e-01, 4.685522059546126e-01, -2.776487534388141e-02, 1.222449021427562e+00, 2.832549181199980e+02, 1.260587494540018e+01, 1.433143421114109e+01, 2.767577219149818e+05, 9.751682981922156e+04, 2.771101346127839e+02, 6.949314987951639e-01, -9.545071123871410e-02
784, 6.278074599936508e-01, 5.153616601948617e-01, -2.865588837483338e-02, 1.219503162641236e+00, 2.876069564450017e+02, 1.153660437967241e+01, 1.295699572427748e+01, 2.764211724854406e+05, 9.695329505816696e+04, 2.761742828084962e+02, 7.081924532788564e-01, -1.095755510428547e-01
785, 6.758059980420272e-01, 5.049126049882848e-01, -2.616113438238268e-02, 1.232796495451861e+00, 2.862011783235674e+02, 1.181751426344898e+01, 1.489339122471042e+01, 2.791346416187427e+05, 9.830654725411952e+04, 2.770094876750125e+02, 6.963484715089187e-01, -7.565666652424843e-02
786, 6.606984695112356e-01, 5.517256557661443e-01, -2.714271422544429e-02, 1.222097402236823e+00, 2.857996541897854e+02, 1.184014383338274e+01, 1.420086069403969e+01, 2.768517041815189e+05, 9.731731694974353e+04, 2.766227523314030e+02, 7.018698971208798e-01, -1.004514450265780e-01
787, 7.087757963723236e-01, 5.415876359866145e-01, -2.449919332350510e-02, 1.238260964526698e+00, 2.866816735807901e+02, 1.270520838265988e+01, 1.584786160884421e+01, 2.803265119612781e+05, 9.878948181108784e+04, 2.771418536160155e+02, 6.944833278818733e-01, -6.355204809699191e-02
788, 6.936697810343244e-01, 5.883923722566397e-01, -2.555877683648134e-02, 1.224494049639022e+00, 2.851291484564684e+02, 1.163917614420544e+01, 1.550034410637214e+01, 2.773145736167434e+05, 9.758572993174747e+04, 2.768427968468150e+02, 6.987267362662030e-01, -9.372374935601768e-02
789, 7.238638347328150e-01, 4.947945220499677e-01, -2.335885546479756e-02, 1.240576980264858e+00, 2.825026966320655e+02, 1.347054935887266e+01, 1.654968285911212e+01, 2.805437353214100e+05, 9.927785030412029e+04, 2.779919619388729e+02, 6.822695093311923e-01, -5.131122959528361e-02
790, 7.416920549887498e-01, 5.781019299190890e-01, -2.279143201245486e-02, 1.241003992813464e+00, 2.849540163898441e+02, 1.292439807183790e+01, 1.656041808081169e+01, 2.807932555352448e+05, 9.916020047357101e+04, 2.775669859566930e+02, 6.883865919500222e-01, -5.426008940720201e-02
791, 7.265550391262092e-01, 6.247583585334469e-01, -2.391776082538669e-02, 1.232893417580368e+00, 2.839116111794963e+02, 1.223620923894395e+01, 1.570119565897266e+01, 2.790073648178864e+05, 9.846279055457258e+04, 2.774279408013090e+02, 6.903751721717023e-01, -7.174047227699443e-02
792, 6.785539838819683e-01, 6.352009557359316e-01, -2.650649794502805e-02, 1.218002497140076e+00, 2.845100254768266e+02, 1.118364837571169e+01, 1.396581615237665e+01, 2.758981804925721e+05, 9.701511686082311e+04, 2.766908672945356e+02, 7.008850930419769e-01, -1.080260050001453e-01
793, 7.114976435067477e-01, 6.717352788376985e-01, -2.494968521378823e-02, 1.223407750123259e+00, 2.837652489557069e+02, 1.146800421879048e+01, 1.467950288448046e+01, 2.769914534583004e+05, 9.757617805786397e+04, 2.770614917093741e+02, 6.956189988891116e-01, -9.396316438017915e-02
794, 7.595417025492003e-01, 6.614174592461481e-01, -2.221996618445710e-02, 1.235718861094847e+00, 2.812059452907934e+02, 1.351383590395396e+01, 1.634354623037479e+01, 2.794319867764415e+05, 9.890149826364014e+04, 2.780268809087272e+02, 6.817587104671691e-01, -6.074438731530672e-02
795, 7.444534521722840e-01, 7.082442269437832e-01, -2.332604529905488e-02, 1.227088507696008e+00, 2.806621404094020e+02, 1.217809743655358e+01, 1.549981259217311e+01, 2.775682554555837e+05, 9.812525203503019e+04, 2.777848068089067e+02, 6.852672149578583e-01, -8.020078004459469e-02
796, 5.263349657303449e-01, 2.757989359636924e-01, -3.288782333132997e-02, 1.206378387142877e+00, 2.816769503102944e+02, 1.254180747700232e+01, 1.229929324443656e+01, 2.732629073122319e+05, 9.610027219838512e+04, 2.767226206864157e+02, 7.005289397784443e-01, -1.309563283726153e-01
797, 7.924773444663503e-01, 6.979281849988137e-01, -2.047901416536209e-02, 1.244111701560675e+00, 2.827143479080660e+02, 1.309907602382024e+01, 1.705294339771699e+01, 2.813057933920341e+05, 9.959907403654879e+04, 2.780990582409956e+02, 6.807365896210809e-01, -4.325984736404451e-02
798, 7.773974892173636e-01, 7.447385143796984e-01, -2.164499888226820e-02, 1.234649076231377e+00, 2.824324554124979e+02, 1.342986600274222e+01, 1.655983787377112e+01, 2.792883249714740e+05, 9.872011005995040e+04, 2.777574313691984e+02, 6.856618494735620e-01, -6.529083146842998e-02
799, 7.293657901272408e-01, 7.550657737943315e-01, -2.432914452730659e-02, 1.219734132780592e+00, 2.812853573679034e+02, 1.271859891522869e+01, 1.430799498947531e+01, 2.760548399409601e+05, 9.738828682083105e+04, 2.773608382172503e+02, 6.913542459797021e-01, -9.867260522944499e-02
800, 7.623291909497687e-01, 7.915840563687484e-01, -2.272858374003268e-02, 1.226979946752372e+00, 2.816490152804798e+02, 1.384044113511156e+01, 1.499013409049060e+01, 2.776139733285101e+05, 9.804742584056698e+04, 2.775890454229121e+02, 6.880878414310938e-01, -8.215147165286661e-02
801, 7.142488980899618e-01, 8.019203229480333e-01, -2.518959682500548e-02, 1.213647772729414e+00, 2.812448958265391e+02, 1.295550631003887e+01, 1.266794227392139e+01, 2.747614567795007e+05, 9.681560992770171e+04, 2.771126265939999e+02, 6.948660187556943e-01, -1.130265899949051e-01
802, 7.472434789808332e-01, 8.384671883165712e-01, -2.369680484675525e-02, 1.214338570836978e+00, 2.776514718804241e+02, 1.431486668940994e+01, 1.409124121920065e+01, 2.746789992763309e+05, 9.710846755186479e+04, 2.777927475273228e+02, 6.851269751759326e-01, -1.056861962648298e-01
803, 7.953272442372304e-01, 8.281149898640318e-01, -2.106228135807874e-02, 1.226624398815615e+00, 2.752306262265398e+02, 1.546781305773995e+01, 1.577847339695902e+01, 2.771279173383692e+05, 9.842028570549510e+04, 2.787254431482995e+02, 6.716292969820375e-01, -7.280584432785961e-02
804, 7.802480022680550e-01, 8.749862977873916e-01, -2.212158951635717e-02, 1.217672408912440e+00, 2.737085583370526e+02, 1.795286805093253e+01, 1.478186393665485e+01, 2.751436838351693e+05, 9.766379797283230e+04, 2.786164381662531e+02, 6.732157088449950e-01, -9.176699593040348e-02
805, 8.283072127316899e-01, 8.646372869010365e-01, -1.934199897427724e-02, 1.231527850829802e+00, 2.725093538205506e+02, 1.823613742729120e+01, 1.642541664177976e+01, 2.780044286838014e+05, 9.904391424124212e+04, 2.793747487182361e+02, 6.621183227116775e-01, -5.717477101441780e-02
806, 8.132376900606478e-01, 9.114897689905265e-01, -2.047587786882633e-02, 1.225043191942598e+00, 2.718468638175351e+02, 1.953028166879128e+01, 1.528134586312482e+01, 2.765925702454002e+05, 9.847163355681040e+04, 2.792308083924402e+02, 6.642453337259042e-01, -7.151882492064845e-02
807, 7.651692620443050e-01, 9.218512336806410e-01, -2.304779934720994e-02, 1.205555219178270e+00, 2.711138139347320e+02, 1.949146715322487e+01, 1.337146883974075e+01, 2.724186412965111e+05, 9.668076696697429e+04, 2.785842577392081e+02, 6.737028481233807e-01, -1.164063907642959e-01
808, 7.981802253472974e-01, 9.583788872999454e-01, -2.150453585954955e-02, 1.219196736277607e+00, 2.763322418928302e+02, 2.007001133959966e+01, 1.419657583401715e+01, 2.756441760142514e+05, 9.763233214157714e+04, 2.781784380116470e+02, 6.795879411755091e-01, -9.255567811382645e-02
809, 5.796785247712929e-01, 5.253801820701303e-01, -3.069669157506955e-02, 1.207127031116855e+00, 2.891218172534377e+02, 1.096725562671885e+01, 1.095219075889854e+01, 2.739135348363495e+05, 9.567596332505941e+04, 2.753299530488499e+02, 7.200490742817351e-01, -1.415915105785634e-01
810, 8.462496041694393e-01, 9.480018583725501e-01, -1.876825568727491e-02, 1.234469032153348e+00, 2.731804467809824e+02, 2.076113931759294e+01, 1.561008182698836e+01, 2.786798987669817e+05, 9.927201700479025e+04, 2.793510052011086e+02, 6.625008705476515e-01, -5.145743959732903e-02
811, 8.311990607748183e-01, 9.948748401156942e-01, -1.988110775012214e-02, 1.221850207329795e+00, 2.781900881350242e+02, 2.072150034414374e+01, 1.549084694590442e+01, 2.763326942491297e+05, 9.775588593196784e+04, 2.779255932046248e+02, 6.832304802657300e-01, -8.945883721407928e-02
812, 5.138484968939500e-01, 4.526264174310565e-01, -3.316079637349825e-02, 1.193978105229589e+00, 2.842217825404818e+02, 1.124112980063935e+01, 9.313068769868677e+00, 2.708096358538638e+05, 9.475658412698467e+04, 2.756872147512640e+02, 7.150929945586001e-01, -1.646354908075073e-01
813, 8.792388912005589e-01, 9.845021881855184e-01, -1.701082806525343e-02, 1.245235635126129e+00, 2.781531200174056e+02, 2.222402831321519e+01, 1.636532131100835e+01, 2.812817071640686e+05, 9.996391102718214e+04, 2.788658226097770e+02, 6.695761504825971e-01, -3.411531111986143e-02
814, 8.641994348330241e-01, 1.031351201648163e+00, -1.819064633609976e-02, 1.238127794746639e+00, 2.842657887400324e+02, 1.980550825392967e+01, 1.628632424415701e+01, 2.801633755402671e+05, 9.890603960080069e+04, 2.774986861137013e+02, 6.893283615377740e-01, -6.063055998055745e-02
815, 8.161540690617546e-01, 1.041737294392690e+00, -2.087364723515880e-02, 1.225285385318922e+00, 2.874170658624106e+02, 1.921242321060995e+01, 1.391469985388222e+01, 2.776520848286832e+05, 9.748500795278401e+04, 2.763784457507962e+02, 7.052371793639423e-01, -9.624831734354058e-02
816, 8.491755443227866e-01, 1.078237637787434e+00, -1.927826991983594e-02, 1.226520664197719e+00, 2.861800635085605e+02, 2.042400957337676e+01, 1.552406864204050e+01, 2.778399245279435e+05, 9.767396007357194e+04, 2.766352498862619e+02, 7.015950826809089e-01, -9.151228574224682e-02
817, 8.433595503241872e-01, 8.177958843326335e-01, -1.813749383368935e-02, 1.243076854574667e+00, 2.768219156364217e+02, 1.682108522463983e+01, 1.734604009713765e+01, 2.807223219058833e+05, 9.986585022016228e+04, 2.790760810807423e+02, 6.665413517745238e-01, -3.657317758337517e-02
818, 8.075427360376737e-01, 6.511274833519027e-01, -1.925613705035466e-02, 1.251653728004585e+00, 2.823453703745275e+02, 1.325954503234338e+01, 1.732946594737248e+01, 2.828774080764228e+05, 1.003367108056171e+05, 2.784705387524378e+02, 6.753636651401622e-01, -2.477118984585495e-02
819, 8.404426558946568e-01, 6.876066773539897e-01, -1.744227185130938e-02, 1.253301569369346e+00, 2.806256239271107e+02, 1.554983842613534e+01, 1.768654461890964e+01, 2.831245350149577e+05, 1.005943838879115e+05, 2.788186010062923e+02, 6.703051742399612e-01, -1.831268673162449e-02
820, 6.634082545630349e-01, 6.820453003201440e-01, -2.730176925379179e-02, 1.215090564012813e+00, 2.876544350222856e+02, 8.869033903185874e+00, 1.222983821087354e+01, 2.754846107509261e+05, 9.653670545814082e+04, 2.759862321091300e+02, 7.108117690880078e-01, -1.200172518412729e-01
821, 6.991097952510881e-01, 8.488125812643237e-01, -2.584916384715991e-02, 1.198884390930507e+00, 2.748913074594802e+02, 1.489156608339054e+01, 1.112574891183892e+01, 2.712289484081061e+05, 9.582801104584524e+04, 2.776634788225251e+02, 6.869937657898555e-01, -1.377804773520318e-01
822, 6.660684440251214e-01, 8.122327862461024e-01, -2.711833112682356e-02, 1.205658554560577e+00, 2.847572439483962e+02, 1.178519438451371e+01, 1.010434629748864e+01, 2.733043135125507e+05, 9.583072892110975e+04, 2.761112180236799e+02, 7.090724357852138e-01, -1.377123545752806e-01
823, 8.942080184456115e-01, 9.374792139492850e-01, -1.577342702254107e-02, 1.247875554112091e+00, 2.717013672891479e+02, 2.051380279502558e+01, 1.663917158967725e+01, 2.814271610977920e+05, 1.006274761937850e+05, 2.801230818155205e+02, 6.510681782873039e-01, -1.748323742074695e-02
824, 8.010788186004187e-01, 1.088633524882134e+00, -2.169004976609461e-02, 1.215991540428289e+00, 2.890323792976268e+02, 1.815242240766938e+01, 1.218186605295177e+01, 2.757935443235580e+05, 9.649863334007560e+04, 2.756729802269493e+02, 7.151470036102623e-01, -1.209715187398563e-01
825, 8.341337992261725e-01, 1.125164152248700e+00, -2.022845812409003e-02, 1.215359164067191e+00, 2.844086180994922e+02, 2.091350848942253e+01, 1.369699574016172e+01, 2.753645397331092e+05, 9.673196310159276e+04, 2.764833314024651e+02, 7.037408342842419e-01, -1.151231740932891e-01
826, 8.822312841042643e-01, 1.114750758925238e+00, -1.760473907407144e-02, 1.235886170242044e+00, 2.865986629410967e+02, 2.158455121741539e+01, 1.693798008753303e+01, 2.798552224149348e+05, 9.852797630475799e+04, 2.769393589244365e+02, 6.973040340645760e-01, -7.010660983848474e-02
827, 8.671973928691628e-01, 1.161658876207972e+00, -1.866443419547481e-02, 1.216717323156472e+00, 2.775119342213152e+02, 2.180799933983283e+01, 1.509210107237517e+01, 2.752058892143674e+05, 9.730761622800256e+04, 2.778182264013928e+02, 6.847366806540778e-01, -1.006945908802949e-01
828, 9.152601823042751e-01, 1.151250798621791e+00, -1.586923166373155e-02, 1.235925686504313e+00, 2.772682895080995e+02, 2.343744274524986e+01, 1.680272677993269e+01, 2.792630382592965e+05, 9.913013080390240e+04, 2.786229672870068e+02, 6.730907166054025e-01, -5.501377719433629e-02
829, 9.001800026920143e-01, 1.197886182505109e+00, -1.701718228723954e-02, 1.220259950821506e+00, 2.708392871210954e+02, 2.327706505442095e+01, 1.546443305844947e+01, 2.755344520987087e+05, 9.806310919845795e+04, 2.791623806374057e+02, 6.652245941200476e-01, -8.175837271184225e-02
830, 7.500601024564949e-01, 9.687496913576239e-01, -2.378346885187943e-02, 1.208569977818788e+00, 2.806532589682653e+02, 1.730417611288305e+01, 1.152371806054751e+01, 2.736642130287639e+05, 9.635953764670678e+04, 2.769660249387887e+02, 6.969653016224854e-01, -1.244579130531434e-01
831, 8.521822631228197e-01, 1.208542748642810e+00, -1.956133066810948e-02, 1.209300903964402e+00, 2.753069434680608e+02, 2.138067453290630e+01, 1.236584400366399e+01, 2.734840390202727e+05, 9.675756113851276e+04, 2.779419676617089e+02, 6.829427082906563e-01, -1.144815665194834e-01
832, 8.852274152402435e-01, 1.245017638033623e+00, -1.803881820298546e-02, 1.205387491317529e+00, 2.675542958877978e+02, 2.193799751498339e+01, 1.418012215687375e+01, 2.721680987981404e+05, 9.687646420958778e+04, 2.791869996132198e+02, 6.648680705908780e-01, -1.115012945873455e-01
833, 4.934988673455980e-01, 2.393491565183967e-01, -3.424145514173656e-02, 1.197591777870081e+00, 2.800494113952876e+02, 1.365711959336455e+01, 1.203063538258895e+01, 2.713065138001611e+05, 9.536972197802537e+04, 2.766338386059699e+02, 7.018207646161562e-01, -1.492673635466484e-01
834, 5.414008299544603e-01, 2.291575143100921e-01, -3.211121082665130e-02, 1.215279628883943e+00, 2.836535206759891e+02, 1.303246128122424e+01, 1.382360750588426e+01, 2.752782310159916e+05, 9.681060751996785e+04, 2.767262255968389e+02, 7.004812483032351e-01, -1.131519739334993e-01
835, 9.122070569943389e-01, 1.020984246125361e+00, -1.521267657947309e-02, 1.249732759946269e+00, 2.803735054754807e+02, 2.255735370264409e+01, 1.739335719141746e+01, 2.823808348504633e+05, 1.002423101337391e+05, 2.786361780658628e+02, 6.729280522001975e-01, -2.713731605461596e-02
836, 8.554885116279152e-01, 6.408523732407807e-01, -1.615294166490705e-02, 1.265712055863853e+00, 2.825947223372051e+02, 1.453554926592078e+01, 1.744045318702015e+01, 2.858700417518482e+05, 1.016476195890413e+05, 2.789753866109576e+02, 6.680070227991687e-01, 8.086368983447337e-03
