"PointID","x","y","z","Displacement_x","Displacement_y","Displacement_z","Sxx","Syy","Sxy","Szz","Sxz","Syz","Von_Mises_Stress"
4287, 5.265181490479423e-01, 7.907776292717438e-01, -2.961049623034996e-02, -1.415326484599691e-09, 1.075119499815288e-09, -6.121285582450403e-09, 3.933762549609136e+03, 4.773893142860758e+03, 3.246374912186184e+02, 6.007744720831732e+03, -3.417371847117364e+03, -1.363175870375920e+03, 6.647631944957138e+03
4288, 3.962835941885060e-01, 7.686783959141608e-01, -1.213223075050962e-02, -3.861208230095284e-10, 2.385968457847789e-10, -5.473087754706009e-10, 2.489400489403783e+02, 3.815078534394919e+02, 1.365550493749923e+02, 2.073329778182425e+03, -3.036760268476959e+02, 8.651639739604752e+01, 1.859884743587041e+03
4289, 6.462154352363891e-01, 9.162085995428535e-01, -2.730586514344657e-02, -6.705729747698403e-10, 9.530816286453137e-10, -4.626606128840426e-09, 2.391150604544239e+03, 1.812507890248155e+03, 1.075069326698774e+02, 2.974323262323195e+03, 2.757417735068737e+03, 1.012706995152577e+03, 5.189780693055666e+03
4290, 6.169381125621980e-01, 9.599153250708128e-01, -2.711686303239303e-02, -1.785322392735173e-09, 1.869862216317001e-09, -1.559394549714133e-08, 9.372216768851851e+03, 9.791966730885397e+03, 5.337447259708290e+02, 1.724799178244791e+04, 8.093163773371681e+02, -1.437998742751130e+03, 8.241438968912802e+03
4291, 6.352507237642648e-01, 9.676594830377945e-01, -2.696316298217151e-02, -9.765650271073668e-10, 1.270113777583655e-09, -6.039541893871781e-09, 4.523315095779798e+03, 3.956626283687434e+03, -4.813874517949760e+02, 6.965793259725504e+03, 4.528823551909491e+03, 1.789992033097744e+01, 8.360493525567794e+03
4292, 6.193865553527349e-01, 9.796441742936415e-01, -2.677228332344670e-02, -9.038199715665547e-10, 1.616251077664772e-09, -6.027938459713670e-09, 4.554135209054865e+03, 5.431055717082327e+03, -2.993050728099316e+01, 9.159814050297202e+03, 5.176389903349647e+01, 2.020905355604787e+03, 5.495939802732287e+03
4293, 6.376988748543901e-01, 9.873891637878230e-01, -2.667869950818540e-02, -9.199380230376749e-10, 1.337301112480900e-09, -5.862109220426596e-09, 6.480245406556879e+03, 6.308312360023556e+03, -8.812398147070475e+02, 1.347344038418774e+04, -2.021767275551024e+03, -2.429423989494268e+03, 9.079393186215133e+03
4294, 6.535623442210339e-01, 9.754019109008172e-01, -2.667458704949452e-02, -1.253860611048633e-09, 9.526530378238703e-10, -3.905856699926934e-09, 3.881034280093535e+03, 3.684423635769331e+03, -4.253661782776383e+02, 7.094805408215749e+03, 3.515125642357643e+02, -3.035009277012423e+03, 6.288575240990039e+03
4295, 6.560110685180249e-01, 9.951327194501831e-01, -2.643765925258641e-02, -1.695447778226780e-09, -5.269243357236463e-10, -1.399405333152000e-08, 1.077761517439034e+04, 9.720071343436275e+03, -6.629468608531903e+01, 2.212006550424576e+04, 1.027489574848038e+03, -1.190851769148250e+03, 1.221472431361396e+04
4296, 6.401466972169663e-01, 1.007119096751393e+00, -2.637267401978773e-02, -1.690097388579267e-09, 7.739324054592916e-10, -7.301365248408136e-09, 8.840850489707580e+03, 8.271522366337354e+03, -3.097313821049647e+02, 1.456086448314803e+04, -2.203167079428186e+03, -4.263232444117190e+03, 1.027980292487567e+04
