JST,LAX-FRIEDRICH
-4.001789294,-7.694130495
-4.031796441,-7.773703706
-4.06111233,-7.853177612
-4.089734685,-7.930155217
-4.117763703,-8.00672004
-4.145359362,-8.083679794
-4.172720462,-8.159982401
-4.200020366,-8.235947546
-4.227366001,-8.311788805
-4.254778964,-8.387504424
-4.281974893,-8.463054548
-4.309472362,-8.538467662
-4.337327325,-8.613861431
-4.365254111,-8.689394177
-4.393154395,-8.76518211
-4.421158983,-8.841240157
-4.449538538,-8.917499572
-4.478607973,-8.993866892
-4.508772152,-9.070536997
-4.53960435,-9.147416665
-4.571271212,-9.223024862
-4.604024349,-9.300081679
-4.637909257,-9.376646308
-4.672562619,-9.453965121
-4.708387641,-9.532193313
-4.745186756,-9.610611501
-4.782901926,-9.689124172
-4.821607109,-9.767827725
-4.861382427,-9.846825138
-4.902290622,-9.925804785
-4.944357061,-10.0049138
-4.987524313,-10.08397199
-5.031631776,-10.16283432
-5.076428252,-10.24141134
-5.121595555,-10.3197538
-5.166777691,-10.39778071
-5.211619243,-10.47560867
-5.255802528,-10.55308948
-5.299054897,-10.63069075
-5.341074052,-10.70797494
-5.381943883,-10.78502965
-5.421468556,-10.86203226
-5.459505486,-10.93898391
-5.495948991,-11.01587784
-5.530690202,-11.09275707
-5.563611294,-11.16959548
-5.59461675,-11.24668563
-5.623699953,-11.32328189
-5.65101539,-11.39992812
-5.676887519,-11.47691672
-5.701740906,-11.55189
-5.726002836,-11.62947262
-5.750032722,-11.70473881
-5.774096313,-11.78137888
-5.798374115,-11.85879022
-5.822986076,-11.93505357
-5.848018998,-12.01256328
-5.873549197,-12.09134691
-5.899656847,-12.1701439
-5.926430945,-12.24680006
-5.95396584,-12.32167477
-5.982153485,-12.39569253
-6.011580507,-12.47224513
-6.042051943,-12.55038059
-6.073505726,-12.62236503
-6.105938977,-12.70205546
-6.139325012,-12.77832202
-6.173617682,-12.83926551
-6.208772863,-12.92500578
-6.244759724,-13.00367795
-6.281565612,-13.06358155
-6.319195842,-13.1268619
-6.357668121,-13.18770673
-6.397003969,-13.24038839
-6.437221736,-13.26791059
-6.478328579,-13.31557738
-6.520598992,-13.34519196
-6.563696146,-13.40116226
-6.607790966,-13.39114741
-6.652966114,-13.45781045
-6.699225732,-13.37164533
-6.746569063,-13.46074157
-6.795018376,-13.45908404
-6.844695419,-13.52331244
-6.895570714,-13.52531021
-6.947771331,-13.51025303
-7.001489243,-13.52437337
-7.056800073,-13.46270048
-7.113682387,-13.51823264
-7.172052934,-13.55378964
-7.231752509,-13.56935231
-7.292519219,-13.57148586
-7.353971951,-13.51430388
-7.415592944,-13.5546643
-7.476699949,-13.52797654
-7.536417335,-13.57910114
-7.594135478,-13.50674672
-7.647713414,-13.54182564
-7.696408527,-13.46464407
-7.739754259,-2.055279867
-7.777298584,-2.449447681
-7.808932677,-2.498996131
-7.835201704,-2.599702535
-7.857308351,-2.674517953
-7.876826141,-2.721865096
-7.895322196,-2.784441527
