"PointID","x","y","Adjoint_Density","Adjoint_Momentum_x","Adjoint_Momentum_y","Adjoint_Energy","Sensitivity_x","Sensitivity_y","Surface_Sensitivity"
759, 2.424421128959333e+00, -1.795315745255753e+00, -1.372361633124965e-03, 2.786227278703652e-06, -2.817682427057827e-06, -4.307821382539012e-11, 4.554754458868651e-07, 4.817483321843672e-08, 0.000000000000000e+00
760, 1.408367084038560e+00, 5.775791300279877e-01, -2.541320996699823e-03, 9.668790022335573e-06, -1.156586342483156e-06, -7.288717795113116e-09, -3.018882497581160e-06, -7.433093765407258e-06, 0.000000000000000e+00
761, 2.489285882058323e+00, 2.993487928663880e-01, -1.497656614508353e-03, 4.097251019617140e-06, -5.771439752590583e-07, -2.494781755503513e-09, -5.657053556869191e-06, 1.775067407792078e-05, 0.000000000000000e+00
762, 2.444081052915228e+00, -3.293573284137469e-01, -1.700015717160871e-03, 4.566198245557963e-06, -1.403691569858269e-06, -1.981700070562609e-09, -2.710861113130768e-06, -1.324039381245796e-05, 0.000000000000000e+00
763, 2.754880539896332e+00, -6.117100915929576e-01, -1.875102136737190e-03, 4.581773651082093e-06, -1.589476418614108e-06, -2.438123526466246e-09, 5.566530185546683e-06, -4.234905274979784e-06, 0.000000000000000e+00
764, 7.377215149302169e-01, -7.386206623451649e-02, 1.244726879828003e-03, -5.750708719350177e-06, -2.523320078699516e-06, 4.724058614309044e-09, 5.531001690393287e-06, 7.060062483097720e-05, 0.000000000000000e+00
765, 1.218176002615757e-01, 1.354431239908377e-01, 1.921262597180811e-03, -3.024822614304526e-06, -8.292587544419126e-06, 4.288544440723766e-09, 1.201910894810578e-04, 1.927364902387685e-04, 0.000000000000000e+00
766, -1.559535972230471e-02, 6.061153749834773e-01, 3.356285340522002e-03, -1.304352816292234e-05, -8.545347924913952e-06, 1.013116111536959e-08, -9.833964425948557e-05, -2.116367956695613e-05, 0.000000000000000e+00
767, 2.286752927412354e-01, -7.978043764611002e-02, 2.168982749467404e-03, -1.162577368961838e-05, -6.462215583971320e-07, 9.714186890120726e-09, -5.832372888081764e-05, 4.383781714212716e-04, 0.000000000000000e+00
768, 5.861110749501653e-01, -4.388709468525067e-01, 1.979569477038825e-03, -9.984963388058743e-06, -3.274036131632052e-06, 8.969772109946042e-09, 2.244615641201209e-05, -2.264573369523224e-06, 0.000000000000000e+00
