"VARIABLE"      , "DRAG"          , "EFFICIENCY"    , "FORCE_X"       , "FORCE_Y"       , "FORCE_Z"       , "LIFT"          , "MOMENT_X"      , "MOMENT_Y"      , "MOMENT_Z"      , "SIDEFORCE"     , "FINDIFF_STEP"  
29              , 0.08901777999999888, -125.30267999999722, 0.07742487439999998, 0.33353129999996733, 0.0             , 0.3306261000000088, 0.0             , 0.0             , 0.05103630000000137, 0.0             , 0.001           
30              , 0.08341490999999937, -129.5731499999988, 0.07956417770000007, 0.11172669999998108, 0.0             , 0.10888199999997683, 0.0             , 0.0             , 0.0936120299999954, 0.0             , 0.001           
31              , 0.043071969999999155, -67.18577999999908, 0.04115084220000006, 0.05576579999999609, 0.0             , 0.054295699999984404, 0.0             , 0.0             , 0.10974229999999308, 0.0             , 0.001           
32              , -0.0018901899999992922, 10.502660000000219, -0.0061504830000000356, 0.1219658999999651, 0.0             , 0.12210629999998002, 0.0             , 0.0             , 0.11992100999999589, 0.0             , 0.001           
33              , -0.027154399999999856, 56.3717600000011, -0.03389595840000003, 0.19257889999996225, 0.0             , 0.19364459999998695, 0.0             , 0.0             , 0.13374445000000068, 0.0             , 0.001           
34              , -0.02965707000000123, 61.00534000000124, -0.036691631500000016, 0.2009258999999819, 0.0             , 0.20208409999999954, 0.0             , 0.0             , 0.1508924199999928, 0.0             , 0.001           
35              , -0.02132536999999851, 45.48132000000038, -0.02732485889999996, 0.17143079999998312, 0.0             , 0.17227999999996912, 0.0             , 0.0             , 0.1779527899999911, 0.0             , 0.001           
36              , -0.014805470000000404, 30.281999999999698, -0.018233412800000005, 0.097905099999962, 0.0             , 0.09848190000000256, 0.0             , 0.0             , 0.18917429999999735, 0.0             , 0.001           
37              , -0.016702159999999744, 10.253410000000684, -0.006814762899999961, -0.28342959999999584, 0.0             , -0.28301899999999547, 0.0             , 0.0             , 0.0037535299999974514, 0.0             , 0.001           
38              , -0.02122368000000152, -22.24379999999826, 0.011626440599999992, -0.9410747999999969, 0.0             , -0.9409072000000074, 0.0             , 0.0             , -0.41867051000001043, 0.0             , 0.001           
