"Time_Iter","Outer_Iter","Inner_Iter",   "rms[A_Rho]"   ,   "rms[A_RhoU]"  ,   "rms[A_RhoV]"  ,   "rms[A_RhoW]"  ,    "rms[A_E]"    
          0,           0,          96,      -1.657131498,      -4.638953053,      -4.931148007,                 0,      -7.113881822
          0,           0,          97,      -1.658066827,      -4.641228224,      -4.934128057,                 0,      -7.114695334
          0,           0,          98,       -1.65711254,      -4.638952595,      -4.931158981,                 0,      -7.113855466
          0,           0,          99,       -1.65805952,      -4.641234105,      -4.934143341,                 0,      -7.114681125
          0,           0,         100,      -1.657116954,       -4.63896262,      -4.931174737,                 0,      -7.113854328
          0,           0,         101,      -1.658072272,      -4.641246382,      -4.934158286,                 0,      -7.114689916
          0,           0,         102,      -1.657134739,      -4.638974133,      -4.931185885,                 0,      -7.113870077
          0,           0,         103,      -1.658091646,      -4.641255869,      -4.934165068,                 0,      -7.114708979
          0,           0,         104,      -1.657151749,      -4.638979566,      -4.931187403,                 0,      -7.113888294
          0,           0,         105,      -1.658104444,      -4.641257122,      -4.934161713,                 0,       -7.11472406
          0,           0,         106,      -1.657158004,      -4.638976405,      -4.931180209,                 0,      -7.113897397
          0,           0,         107,      -1.658104343,      -4.641250358,      -4.934151725,                 0,       -7.11472695
          0,           0,         108,      -1.657151629,      -4.638967253,      -4.931169307,                 0,      -7.113893654
          0,           0,         109,      -1.658093235,      -4.641239918,      -4.934141003,                 0,      -7.114717895
          0,           0,         110,      -1.657137619,      -4.638957193,      -4.931160287,                 0,      -7.113880857
          0,           0,         111,       -1.65807805,      -4.641230982,      -4.934134318,                 0,      -7.114703108
          0,           0,         112,      -1.657123486,       -4.63895056,      -4.931156425,                 0,       -7.11386634
          0,           0,         113,      -1.658065957,      -4.641226745,      -4.934133287,                 0,      -7.114690034
          0,           0,         114,      -1.657114896,      -4.638948983,      -4.931157715,                 0,      -7.113856399
          0,           0,         115,      -1.658060818,      -4.641227384,      -4.934136463,                 0,      -7.114683388
          0,           0,         116,      -1.657113454,      -4.638951333,      -4.931161785,                 0,      -7.113853553
          0,           0,         117,      -1.658062279,      -4.641230819,      -4.934140901,                 0,       -7.11468368
          0,           0,         118,      -1.657117113,       -4.63895505,      -4.931165709,                 0,      -7.113856434
          0,           0,         119,      -1.658067166,      -4.641234354,      -4.934143984,                 0,      -7.114688189
          0,           0,         120,      -1.657122197,      -4.638957771,       -4.93116755,                 0,      -7.113861554
          0,           0,         121,      -1.658071786,       -4.64123612,      -4.934144557,                 0,      -7.114693178
          0,           0,         122,       -1.65712558,      -4.638958365,      -4.931166963,                 0,      -7.113865542
          0,           0,         123,      -1.658073779,      -4.641235685,       -4.93414301,                 0,      -7.114695903
          0,           0,         124,      -1.657125947,      -4.638957072,      -4.931164865,                 0,      -7.113866641
          0,           0,         125,      -1.658072776,      -4.641233803,      -4.934140625,                 0,      -7.114695557
          0,           0,         126,      -1.657123826,      -4.638954963,      -4.931162615,                 0,      -7.113865012
          0,           0,         127,      -1.658069954,      -4.641231693,      -4.934138699,                 0,      -7.114693041
          0,           0,         128,      -1.657120782,      -4.638953183,       -4.93116125,                 0,      -7.113862066
          0,           0,         129,      -1.658067015,      -4.641230334,      -4.934137945,                 0,      -7.114690025
          0,           0,         130,      -1.657118373,      -4.638952402,      -4.931161101,                 0,      -7.113859437
          0,           0,         131,      -1.658065245,      -4.641230081,      -4.934138332,                 0,      -7.114687945
          0,           0,         132,      -1.657117433,      -4.638952643,      -4.931161851,                 0,      -7.113858157
          0,           0,         133,      -1.658065036,       -4.64123069,      -4.934139324,                 0,      -7.114687409
          0,           0,         134,      -1.657117895,      -4.638953464,      -4.931162868,                 0,      -7.113858355
          0,           0,         135,      -1.658065966,      -4.641231597,      -4.934140266,                 0,      -7.114688151
          0,           0,         136,      -1.657119082,      -4.638954289,      -4.931163588,                 0,      -7.113859452
          0,           0,         137,       -1.65806722,      -4.641232273,      -4.934140722,                 0,      -7.114689405
          0,           0,         138,      -1.657120186,      -4.638954715,       -4.93116375,                 0,      -7.113860634
          0,           0,         139,      -1.658068083,      -4.641232452,       -4.93414061,                 0,        -7.1146904
          0,           0,         140,      -1.657120684,      -4.638954642,      -4.931163429,                 0,      -7.113861292
          0,           0,         141,      -1.658068233,       -4.64123218,      -4.934140136,                 0,      -7.114690718
          0,           0,         142,      -1.657120492,      -4.638954236,      -4.931162906,                 0,      -7.113861245
          0,           0,         143,      -1.658067784,      -4.641231703,      -4.934139619,                 0,      -7.114690382
          0,           0,         144,      -1.657119879,      -4.638953773,      -4.931162477,                 0,        -7.1138607
          0,           0,         145,        -1.6580671,      -4.641231293,      -4.934139307,                 0,      -7.114689722
          0,           0,         146,      -1.657119237,      -4.638953477,      -4.931162308,                 0,      -7.113860039
          0,           0,         147,      -1.658066554,      -4.641231115,       -4.93413928,                 0,      -7.114689125
          0,           0,         148,      -1.657118861,      -4.638953431,      -4.931162399,                 0,      -7.113859592
          0,           0,         149,      -1.658066348,      -4.641231178,      -4.934139464,                 0,      -7.114688839
          0,           0,         150,      -1.657118837,      -4.638953577,      -4.931162626,                 0,      -7.113859494
          0,           0,         151,      -1.658066468,      -4.641231376,      -4.934139707,                 0,      -7.114688897
          0,           0,         152,      -1.657119063,      -4.638953786,       -4.93116284,                 0,      -7.113859679
          0,           0,         153,      -1.658066753,      -4.641231573,      -4.934139874,                 0,      -7.114689161
          0,           0,         154,      -1.657119352,      -4.638953938,      -4.931162942,                 0,      -7.113859968
          0,           0,         155,      -1.658067013,      -4.641231673,      -4.934139908,                 0,      -7.114689439
          0,           0,         156,      -1.657119543,      -4.638953974,      -4.931162915,                 0,       -7.11386019
          0,           0,         157,      -1.658067129,      -4.641231655,       -4.93413983,                 0,      -7.114689592
          0,           0,         158,      -1.657119572,      -4.638953911,      -4.931162808,                 0,      -7.113860256
          0,           0,         159,      -1.658067084,       -4.64123156,      -4.934139709,                 0,      -7.114689581
          0,           0,         160,      -1.657119469,      -4.638953805,      -4.931162695,                 0,      -7.113860177
          0,           0,         161,      -1.658066945,      -4.641231455,      -4.934139614,                 0,      -7.114689457
          0,           0,         162,      -1.657119319,      -4.638953718,      -4.931162628,                 0,      -7.113860032
          0,           0,         163,      -1.658066802,       -4.64123139,       -4.93413958,                 0,      -7.114689309
          0,           0,         164,      -1.657119204,      -4.638953683,      -4.931162626,                 0,      -7.113859905
          0,           0,         165,      -1.658066721,      -4.641231383,      -4.934139604,                 0,      -7.114689211
          0,           0,         166,      -1.657119166,      -4.638953701,      -4.931162668,                 0,      -7.113859849
          0,           0,         167,       -1.65806672,      -4.641231419,      -4.934139657,                 0,      -7.114689193
          0,           0,         168,      -1.657119197,      -4.638953746,      -4.931162721,                 0,      -7.113859867
          0,           0,         169,      -1.658066773,      -4.641231467,      -4.934139706,                 0,      -7.114689238
          0,           0,         170,      -1.657119261,      -4.638953788,      -4.931162757,                 0,      -7.113859927
          0,           0,         171,      -1.658066839,      -4.641231501,      -4.934139727,                 0,      -7.114689304
          0,           0,         172,      -1.657119318,      -4.638953809,      -4.931162764,                 0,      -7.113859988
          0,           0,         173,      -1.658066882,      -4.641231508,       -4.93413972,                 0,      -7.114689354
          0,           0,         174,      -1.657119341,      -4.638953804,      -4.931162746,                 0,       -7.11386002
          0,           0,         175,      -1.658066888,      -4.641231494,      -4.934139696,                 0,      -7.114689368
          0,           0,         176,      -1.657119331,      -4.638953783,       -4.93116272,                 0,      -7.113860016
          0,           0,         177,      -1.658066865,       -4.64123147,      -4.934139671,                 0,       -7.11468935
          0,           0,         178,        -1.6571193,      -4.638953761,        -4.9311627,                 0,      -7.113859989
          0,           0,         179,      -1.658066832,      -4.641231451,      -4.934139657,                 0,      -7.114689318
          0,           0,         180,       -1.65711927,      -4.638953748,      -4.931162694,                 0,      -7.113859957
          0,           0,         181,      -1.658066807,      -4.641231444,      -4.934139657,                 0,      -7.114689291
          0,           0,         182,      -1.657119254,      -4.638953747,      -4.931162699,                 0,      -7.113859938
          0,           0,         183,      -1.658066799,      -4.641231448,      -4.934139667,                 0,      -7.114689279
          0,           0,         184,      -1.657119255,      -4.638953755,      -4.931162711,                 0,      -7.113859935
          0,           0,         185,      -1.658066807,      -4.641231459,      -4.934139679,                 0,      -7.114689283
          0,           0,         186,      -1.657119267,      -4.638953766,      -4.931162721,                 0,      -7.113859945
          0,           0,         187,      -1.658066821,      -4.641231468,      -4.934139686,                 0,      -7.114689297
          0,           0,         188,      -1.657119281,      -4.638953773,      -4.931162725,                 0,      -7.113859959
          0,           0,         189,      -1.658066833,      -4.641231473,      -4.934139688,                 0,       -7.11468931
          0,           0,         190,       -1.65711929,      -4.638953774,      -4.931162724,                 0,       -7.11385997
          0,           0,         191,      -1.658066839,      -4.641231471,      -4.934139684,                 0,      -7.114689317
          0,           0,         192,      -1.657119291,      -4.638953771,      -4.931162719,                 0,      -7.113859972
          0,           0,         193,      -1.658066836,      -4.641231467,      -4.934139678,                 0,      -7.114689317
          0,           0,         194,      -1.657119286,      -4.638953766,      -4.931162713,                 0,      -7.113859969
          0,           0,         195,       -1.65806683,      -4.641231462,      -4.934139674,                 0,      -7.114689311
          0,           0,         196,      -1.657119279,      -4.638953762,       -4.93116271,                 0,      -7.113859962
          0,           0,         197,      -1.658066823,      -4.641231459,      -4.934139672,                 0,      -7.114689304
          0,           0,         198,      -1.657119274,      -4.638953761,      -4.931162711,                 0,      -7.113859956
          0,           0,         199,       -1.65806682,      -4.641231459,      -4.934139674,                 0,      -7.114689299
          0,           0,         200,      -1.657119272,      -4.638953762,      -4.931162713,                 0,      -7.113859954
          0,           0,         201,       -1.65806682,      -4.641231461,      -4.934139676,                 0,      -7.114689299
          0,           0,         202,      -1.657119274,      -4.638953764,      -4.931162715,                 0,      -7.113859955
          0,           0,         203,      -1.658066823,      -4.641231463,      -4.934139678,                 0,      -7.114689301
          0,           0,         204,      -1.657119277,      -4.638953766,      -4.931162717,                 0,      -7.113859958
          0,           0,         205,      -1.658066826,      -4.641231465,      -4.934139679,                 0,      -7.114689304
          0,           0,         206,       -1.65711928,      -4.638953767,      -4.931162717,                 0,      -7.113859961
          0,           0,         207,      -1.658066828,      -4.641231465,      -4.934139679,                 0,      -7.114689307
          0,           0,         208,      -1.657119281,      -4.638953766,      -4.931162716,                 0,      -7.113859962
          0,           0,         209,      -1.658066828,      -4.641231464,      -4.934139678,                 0,      -7.114689307
          0,           0,         210,       -1.65711928,      -4.638953765,      -4.931162715,                 0,      -7.113859962
          0,           0,         211,      -1.658066827,      -4.641231463,      -4.934139677,                 0,      -7.114689306
          0,           0,         212,      -1.657119279,      -4.638953764,      -4.931162714,                 0,      -7.113859961
          0,           0,         213,      -1.658066825,      -4.641231462,      -4.934139676,                 0,      -7.114689305
          0,           0,         214,      -1.657119278,      -4.638953764,      -4.931162714,                 0,      -7.113859959
          0,           0,         215,      -1.658066824,      -4.641231462,      -4.934139676,                 0,      -7.114689304
          0,           0,         216,      -1.657119277,      -4.638953764,      -4.931162714,                 0,      -7.113859958
          0,           0,         217,      -1.658066824,      -4.641231462,      -4.934139676,                 0,      -7.114689303
          0,           0,         218,      -1.657119277,      -4.638953764,      -4.931162715,                 0,      -7.113859958
          0,           0,         219,      -1.658066824,      -4.641231463,      -4.934139677,                 0,      -7.114689303
          0,           0,         220,      -1.657119277,      -4.638953765,      -4.931162715,                 0,      -7.113859959
          0,           0,         221,      -1.658066825,      -4.641231463,      -4.934139677,                 0,      -7.114689304
